x(m),y(m),z(m),dtr(m)
-2.418245252674398944e+06,5.385751401606256142e+06,2.405760110507386737e+06,-2.807112163541009650e+06
-2.418245564934715629e+06,5.385751504567413591e+06,2.405760279181472026e+06,-2.807105694794774055e+06
-2.418245417140695266e+06,5.385751947435420938e+06,2.405760594217543025e+06,-2.807098994929692708e+06
-2.418245391269464511e+06,5.385751983219596557e+06,2.405760526047325693e+06,-2.807092695719977841e+06
-2.418245489933718462e+06,5.385752307062142529e+06,2.405760525248296093e+06,-2.807086073601425160e+06
-2.418245265035533812e+06,5.385752489422890358e+06,2.405760582737788092e+06,-2.807079622906007804e+06
-2.418245146006808151e+06,5.385752648586701602e+06,2.405760559300749097e+06,-2.807073235006007832e+06
-2.418245221529841423e+06,5.385752714359026402e+06,2.405760551470455248e+06,-2.807066813232001383e+06
-2.418245287631220650e+06,5.385752195212861523e+06,2.405760293844432570e+06,-2.807060736348158680e+06
-2.418245259458383080e+06,5.385752495693048462e+06,2.405760529589948244e+06,-2.807053931557174772e+06
-2.418244981413530186e+06,5.385753472585715353e+06,2.405761051825153641e+06,-2.807046818001522217e+06
-2.418245149294890463e+06,5.385754080530197360e+06,2.405761267678096890e+06,-2.807039952277299948e+06
-2.418244379864818882e+06,5.385753928146210499e+06,2.405761000604967587e+06,-2.807034052383976057e+06
-2.418244228795523755e+06,5.385755391751703806e+06,2.405761617822944652e+06,-2.807026496265595779e+06
-2.418244316471474711e+06,5.385756852924969979e+06,2.405762292173052672e+06,-2.807018819978388958e+06
-2.418244274415316992e+06,5.385757366491905414e+06,2.405762457008693833e+06,-2.807012091076639947e+06
-2.418243258529771119e+06,5.385757611925217323e+06,2.405762484493284952e+06,-2.807005395493411459e+06
-2.418243144824489485e+06,5.385759169379124418e+06,2.405763111573135015e+06,-2.806997865462271962e+06
-2.418243203807630576e+06,5.385759381298957393e+06,2.405762867623730097e+06,-2.806991263213356026e+06
-2.418242801219156943e+06,5.385758382482437417e+06,2.405762625957906712e+06,-2.806985814725478645e+06
-2.418238597556785680e+06,5.385752873621696606e+06,2.405762512928420212e+06,-2.806982500629088841e+06
-2.418242859809115063e+06,5.385759887217510492e+06,2.405763358174328227e+06,-2.806971846844305284e+06
-2.418243295913791284e+06,5.385759513944240287e+06,2.405763026492074598e+06,-2.806965747232143767e+06
-2.418243556393390521e+06,5.385759694934645668e+06,2.405762659258279484e+06,-2.806959446885920130e+06
-2.418240776515163947e+06,5.385753672607453540e+06,2.405760831989752594e+06,-2.806957370461705606e+06
-2.418241473257341888e+06,5.385753270605638623e+06,2.405760015057316516e+06,-2.806951765438349918e+06
-2.418242059126521461e+06,5.385753586097941734e+06,2.405760210312613752e+06,-2.806945123850454111e+06
-2.418242288577309344e+06,5.385755073461353779e+06,2.405761163517351262e+06,-2.806937426350886002e+06
-2.418242758460165001e+06,5.385756621291171759e+06,2.405762781114820857e+06,-2.806929342734802980e+06
-2.418243217917897273e+06,5.385757163460137323e+06,2.405763373709470034e+06,-2.806922282488938887e+06
-2.418243615053113550e+06,5.385757357051776722e+06,2.405762746157233603e+06,-2.806916022101837676e+06
-2.418244132490360178e+06,5.385758430667222477e+06,2.405762406344402116e+06,-2.806909154529363383e+06
-2.418244458977608476e+06,5.385757720638782717e+06,2.405762095944565255e+06,-2.806903377767504193e+06
-2.418244541816648562e+06,5.385757560313802212e+06,2.405762406518825330e+06,-2.806896982544739731e+06
-2.418244429693186190e+06,5.385757140743943863e+06,2.405762392819818575e+06,-2.806891006704473402e+06
-2.418244240474231075e+06,5.385757066689196043e+06,2.405762683859121986e+06,-2.806884679023277014e+06
-2.418244219394429121e+06,5.385758310848310590e+06,2.405762765790069941e+06,-2.806877561712288763e+06
-2.418244261692369357e+06,5.385759110793259926e+06,2.405762590454067569e+06,-2.806870781690528616e+06
-2.418244346180532128e+06,5.385760556056347676e+06,2.405762536973657086e+06,-2.806863530636833515e+06
-2.418244690375201404e+06,5.385761087783610448e+06,2.405762623800328001e+06,-2.806856666347108781e+06
-2.418244744248872157e+06,5.385761672015110031e+06,2.405762465975561645e+06,-2.806849979629155714e+06
-2.418244886361780111e+06,5.385761056353378110e+06,2.405762153921562713e+06,-2.806844029693107586e+06
-2.418244763487237040e+06,5.385761292109141126e+06,2.405762383760000579e+06,-2.806837463966754265e+06
-2.418244426379383542e+06,5.385763780269030482e+06,2.405764003413445316e+06,-2.806829051525735296e+06
-2.418244712534677237e+06,5.385763507459774613e+06,2.405764021621789318e+06,-2.806822748988797888e+06
-2.418245140929005574e+06,5.385763123947034590e+06,2.405763801311580464e+06,-2.806816570653599687e+06
-2.418245225173861254e+06,5.385764581669263542e+06,2.405764048242332414e+06,-2.806809268936292734e+06
-2.418245080713043455e+06,5.385763464938072488e+06,2.405763844134527259e+06,-2.806803567439792678e+06
-2.418244910506056622e+06,5.385762861940406263e+06,2.405763650402608328e+06,-2.806797533671832178e+06
-2.418244429017175455e+06,5.385763923410860822e+06,2.405763425035334658e+06,-2.806790727456081193e+06
-2.418244270217365120e+06,5.385763869613774121e+06,2.405762756777998060e+06,-2.806784751115190331e+06
-2.418244160484571010e+06,5.385763197695981711e+06,2.405762863967025187e+06,-2.806778946121872868e+06
-2.418244132137438282e+06,5.385763048942768946e+06,2.405763296096378006e+06,-2.806772627764574252e+06
-2.418243791148715653e+06,5.385762756741813384e+06,2.405763763982756529e+06,-2.806766425380169880e+06
-2.418243464338271413e+06,5.385762694289723411e+06,2.405764003212699201e+06,-2.806760209371002857e+06
-2.418243301193631720e+06,5.385760033729157411e+06,2.405762634666813072e+06,-2.806756367798644584e+06
-2.418243159455710091e+06,5.385758464445021003e+06,2.405761177930326201e+06,-2.806751602206879295e+06
-2.418243456535955425e+06,5.385757682921338826e+06,2.405761246066068765e+06,-2.806745459946343210e+06
-2.418243557870773599e+06,5.385756353269375861e+06,2.405760070069371723e+06,-2.806740343090788461e+06
-2.418243628986911383e+06,5.385756756061597727e+06,2.405760333545349538e+06,-2.806733571735881269e+06
-2.418243751138004474e+06,5.385756941129896790e+06,2.405760507892160211e+06,-2.806727191229913849e+06
-2.418244286192785949e+06,5.385756575514947064e+06,2.405760384812100790e+06,-2.806720941572137643e+06
-2.418244590225558728e+06,5.385754583587265573e+06,2.405759613155535888e+06,-2.806716023588828277e+06
-2.418244448132369667e+06,5.385756201682675630e+06,2.405760623459370341e+06,-2.806708144519362599e+06
-2.418244158788596746e+06,5.385757690694905818e+06,2.405761061115237419e+06,-2.806700684421015903e+06
-2.418243927835608833e+06,5.385758488806769252e+06,2.405761411482478026e+06,-2.806693737855893094e+06
-2.418243801692361012e+06,5.385757870764658786e+06,2.405761364107933361e+06,-2.806687782254349906e+06
-2.418243623137126677e+06,5.385757847808605991e+06,2.405761543545445427e+06,-2.806681588724991307e+06
-2.418243393751758616e+06,5.385757063149740919e+06,2.405761177130385768e+06,-2.806676013836909086e+06
-2.418243261126437224e+06,5.385756878546782769e+06,2.405761270272002555e+06,-2.806669780410428531e+06
-2.418242978985005524e+06,5.385757721838648431e+06,2.405761553214406129e+06,-2.806662944981007371e+06
-2.418243012143394910e+06,5.385758338037881069e+06,2.405761333775650244e+06,-2.806656379818999674e+06
-2.418243038502847776e+06,5.385758478030042723e+06,2.405761007827075664e+06,-2.806650213128882460e+06
-2.418245829768540338e+06,5.385759954810108058e+06,2.405760740534311626e+06,-2.806642078779244330e+06
-2.418246107301828451e+06,5.385758866789037362e+06,2.405760627057208680e+06,-2.806636490248108283e+06
-2.418246356528260745e+06,5.385758192828648724e+06,2.405760429562008940e+06,-2.806630654381292872e+06
-2.418246462997650728e+06,5.385757745357641019e+06,2.405760227645558305e+06,-2.806624663584546652e+06
-2.418246645255414303e+06,5.385757576784140430e+06,2.405760129880050663e+06,-2.806618342100958806e+06
-2.418246627058844082e+06,5.385757460751047358e+06,2.405759880179125816e+06,-2.806612260922405869e+06
-2.418246583514092024e+06,5.385757102391685359e+06,2.405759738369976170e+06,-2.806606227632370312e+06
-2.418246510279282462e+06,5.385757328092806041e+06,2.405759623859895393e+06,-2.806599886351622175e+06
-2.418246472217837349e+06,5.385757531680224463e+06,2.405759779116136488e+06,-2.806593427378693130e+06
-2.418246636542436201e+06,5.385758160482338630e+06,2.405760262933916878e+06,-2.806586487365072593e+06
-2.418246768053872045e+06,5.385758997806001455e+06,2.405760525619435590e+06,-2.806579457776512951e+06
-2.418247022838670760e+06,5.385760042177261785e+06,2.405760347440717276e+06,-2.806572469811547082e+06
-2.418243521635911893e+06,5.385757188871524297e+06,2.405760470240410883e+06,-2.806569635145268869e+06
-2.418243818725382444e+06,5.385757090775079094e+06,2.405760415700326208e+06,-2.806563211002728436e+06
-2.418243784802478272e+06,5.385756892488435842e+06,2.405760403966025915e+06,-2.806556984966636635e+06
-2.418243983517086599e+06,5.385757028551425785e+06,2.405760657758183777e+06,-2.806550314916465431e+06
-2.418244314019642770e+06,5.385757602386871353e+06,2.405760911011006683e+06,-2.806543402024431154e+06
-2.418244159362168517e+06,5.385756999718759209e+06,2.405759714351255912e+06,-2.806537930184586439e+06
-2.418244372549619991e+06,5.385756676408592612e+06,2.405760060657698661e+06,-2.806531503694765270e+06
-2.418244610770812724e+06,5.385756207804827020e+06,2.405760324535544962e+06,-2.806525499906639103e+06
-2.418244612399655860e+06,5.385756460811439902e+06,2.405760523847973440e+06,-2.806518891460497398e+06
-2.418244452879035845e+06,5.385756640379816294e+06,2.405760808815381955e+06,-2.806512346872134600e+06
-2.418244635482689366e+06,5.385757571810336784e+06,2.405760851520310622e+06,-2.806505426909610629e+06
-2.418244903604818974e+06,5.385757347899459302e+06,2.405760996648111846e+06,-2.806499051774073858e+06
-2.418246708138878457e+06,5.385757589778495952e+06,2.405760409269473050e+06,-2.806491685009240173e+06
-2.418247257969513535e+06,5.385758033842187375e+06,2.405760928975432180e+06,-2.806484613183500245e+06
-2.418247656342982315e+06,5.385758365991040133e+06,2.405760445808872115e+06,-2.806478087005669251e+06
-2.418248168129465077e+06,5.385758438225252554e+06,2.405760847931033466e+06,-2.806471380975668784e+06
-2.418248360443660058e+06,5.385758671280558221e+06,2.405761332509674132e+06,-2.806464689065068495e+06
-2.418247962068469264e+06,5.385758128592368215e+06,2.405761553855923004e+06,-2.806458765883019660e+06
-2.418248095091717783e+06,5.385758721185659990e+06,2.405761520700183697e+06,-2.806451949368308764e+06
-2.418248054362916388e+06,5.385758678946840577e+06,2.405761833458363079e+06,-2.806445693405461963e+06
-2.418247550086837262e+06,5.385758816039751284e+06,2.405761275432629511e+06,-2.806439664832575712e+06
-2.418247488432063721e+06,5.385758669285411946e+06,2.405761158862884622e+06,-2.806433500482099596e+06
-2.418247241345520131e+06,5.385758499526544474e+06,2.405760845165509731e+06,-2.806427524802448694e+06
-2.418247331461937167e+06,5.385758316219883971e+06,2.405761127484159078e+06,-2.806421224538646638e+06
-2.418245285604537465e+06,5.385757884868451394e+06,2.405761998898839578e+06,-2.806415942090111319e+06
-2.418244623815181199e+06,5.385757113208387978e+06,2.405761581795426551e+06,-2.806410604734669905e+06
-2.418245346465197392e+06,5.385757317883905955e+06,2.405761819276965223e+06,-2.806403726189836860e+06
-2.418245904207881074e+06,5.385757665838303976e+06,2.405762104347284883e+06,-2.806396711248028558e+06
-2.418245796296506189e+06,5.385757431630589999e+06,2.405762693550156895e+06,-2.806390256703005638e+06
-2.418245766703174450e+06,5.385757185883778147e+06,2.405762456000876613e+06,-2.806384210036722943e+06
-2.418245412548526656e+06,5.385756920751319267e+06,2.405762164509865921e+06,-2.806378329202633817e+06
-2.418245385780103970e+06,5.385756744064139202e+06,2.405762479365908075e+06,-2.806371958989842329e+06
-2.418245554587520193e+06,5.385756931799497455e+06,2.405762427253547590e+06,-2.806365469293490052e+06
-2.418245390550411306e+06,5.385756655110435560e+06,2.405762055302869063e+06,-2.806359522853854112e+06
-2.418245610605876427e+06,5.385756627099766396e+06,2.405761098035782110e+06,-2.806353522227956448e+06
-2.418245935442768037e+06,5.385756676067847759e+06,2.405761204346408602e+06,-2.806346921992280055e+06
-2.418245889633422252e+06,5.385756633603608236e+06,2.405760695670259651e+06,-2.806340857694861945e+06
-2.418246150986226276e+06,5.385756987683154643e+06,2.405761072020166554e+06,-2.806334010554948822e+06
-2.418246037799241953e+06,5.385756902768940665e+06,2.405760921079021413e+06,-2.806327833005194552e+06
-2.418246016441196203e+06,5.385757017318373546e+06,2.405761486664033495e+06,-2.806321060343614314e+06
-2.418245928273393307e+06,5.385757210240794346e+06,2.405762067369136494e+06,-2.806314247847998980e+06
-2.418245965574488044e+06,5.385757414066393860e+06,2.405761859458658844e+06,-2.806307863629964646e+06
-2.418245899277727120e+06,5.385757389308927581e+06,2.405761665478142444e+06,-2.806301659691522364e+06
-2.418245732172517572e+06,5.385757446273562498e+06,2.405762328144850209e+06,-2.806295088927930221e+06
-2.418245604264943395e+06,5.385757476233920082e+06,2.405762752824681811e+06,-2.806288731865631416e+06
-2.418245635019362904e+06,5.385757412883890793e+06,2.405763117981860880e+06,-2.806282208318714052e+06
-2.418245733721914701e+06,5.385757668431907892e+06,2.405763415548831690e+06,-2.806275556981510017e+06
-2.418245672683933750e+06,5.385757762263566256e+06,2.405763856446023565e+06,-2.806269002008211799e+06
-2.418246019102285616e+06,5.385757876664249226e+06,2.405763444869196974e+06,-2.806262633015308529e+06
-2.418247104132418521e+06,5.385758670010345057e+06,2.405763384717252571e+06,-2.806255354658100288e+06
-2.418247232486817986e+06,5.385758547380609438e+06,2.405763108949995600e+06,-2.806249265712004621e+06
-2.418246996366765350e+06,5.385758302308906801e+06,2.405764010922755115e+06,-2.806242743171064183e+06
-2.418246563833978958e+06,5.385757848407487385e+06,2.405763180182089098e+06,-2.806237240272292867e+06
-2.418247001376435161e+06,5.385758145107570104e+06,2.405763280629697256e+06,-2.806230341477167327e+06
-2.418247248805324547e+06,5.385758571214369498e+06,2.405763527919376269e+06,-2.806223599749575369e+06
-2.418246738621192519e+06,5.385758131971982308e+06,2.405763663074512500e+06,-2.806217745304909535e+06
-2.418246026766116731e+06,5.385757782778263092e+06,2.405763610993342940e+06,-2.806211925485496875e+06
-2.418245877880584449e+06,5.385757881307326257e+06,2.405763663819920272e+06,-2.806205619616651908e+06
-2.418245724966329057e+06,5.385757990981611423e+06,2.405763645311618224e+06,-2.806199210665031336e+06
-2.418245571980860084e+06,5.385757856445217505e+06,2.405764062867729925e+06,-2.806192842446437106e+06
-2.418244814276940189e+06,5.385757371327660978e+06,2.405763642704187427e+06,-2.806187346412876621e+06
-2.418244412708926946e+06,5.385757371728976257e+06,2.405763729941752739e+06,-2.806181094919972587e+06
-2.418243912410594989e+06,5.385757339925895445e+06,2.405763623782943469e+06,-2.806174975179607049e+06
-2.418243177601839881e+06,5.385757096813267097e+06,2.405763035908763763e+06,-2.806169422969194595e+06
-2.418242636211559642e+06,5.385757048053629696e+06,2.405763535654467531e+06,-2.806163057466169354e+06
-2.418242161689895205e+06,5.385756925851415843e+06,2.405762918343297672e+06,-2.806157269513378851e+06
-2.418241526443004608e+06,5.385756372161217034e+06,2.405762814451970626e+06,-2.806151413832461927e+06
-2.418241062290109228e+06,5.385756066551702097e+06,2.405762889514953364e+06,-2.806145379823520780e+06
-2.418240724162733648e+06,5.385755971072596498e+06,2.405762632687199861e+06,-2.806139420280041639e+06
-2.418240333089411724e+06,5.385755469107756391e+06,2.405762473868346773e+06,-2.806133605987451505e+06
-2.418240283252886031e+06,5.385755461422296241e+06,2.405762983481847215e+06,-2.806127091943888925e+06
-2.418240155680262949e+06,5.385755416269789450e+06,2.405763205380598083e+06,-2.806120806281619705e+06
-2.418240189631510992e+06,5.385755601394128054e+06,2.405763398366450332e+06,-2.806114268131755292e+06
-2.418239885796245653e+06,5.385755075927395374e+06,2.405763586513442453e+06,-2.806108152884939685e+06
-2.418239292596216314e+06,5.385754383545378223e+06,2.405763259621496778e+06,-2.806102762420836370e+06
-2.418238957807174884e+06,5.385754048364078626e+06,2.405762869979370385e+06,-2.806096988140004221e+06
-2.418239062371485867e+06,5.385753986936810426e+06,2.405763539656923153e+06,-2.806090433316681534e+06
-2.418239057308112271e+06,5.385753632638510317e+06,2.405763616160320584e+06,-2.806084206823515240e+06
-2.418239228289281949e+06,5.385753779795952141e+06,2.405763555015597027e+06,-2.806077719508579466e+06
-2.418239804776778910e+06,5.385754251954062842e+06,2.405763873705009464e+06,-2.806070730413525831e+06
-2.418240249548905529e+06,5.385754482763749547e+06,2.405764261542041320e+06,-2.806063851899190340e+06
-2.418240642267546616e+06,5.385754647233582102e+06,2.405764055983095895e+06,-2.806057418970023282e+06
-2.418240597863303497e+06,5.385754340922241099e+06,2.405764247510893270e+06,-2.806051225378822535e+06
-2.418240416958952323e+06,5.385754321642464027e+06,2.405764677526062820e+06,-2.806044803471889812e+06
