lat(deg),lon(deg),h(m)
2.230467537648783605e+01,1.141804543888113130e+02,2.463641165074822226e+01
2.230467590712542858e+01,1.141804537940493844e+02,2.443022620022709290e+01
2.230467452097028058e+01,1.141804549355078535e+02,2.400150642941235191e+01
2.230467513530091850e+01,1.141804530840385041e+02,2.415215547562903708e+01
2.230467281700467552e+01,1.141804541258825481e+02,2.384435890539876723e+01
2.230467210105596010e+01,1.141804551829974770e+02,2.412452289981869313e+01
2.230467242001693862e+01,1.141804591643671785e+02,2.254494689996522894e+01
2.230467349499238949e+01,1.141804591456862852e+02,2.256781316659898096e+01
2.230467270530644797e+01,1.141804594776685633e+02,2.221619550097344842e+01
2.230467628064254981e+01,1.141804584810765419e+02,2.127535017887369406e+01
2.230467542804676384e+01,1.141804609341368320e+02,2.095068924901923779e+01
2.230467550227524143e+01,1.141804594114110358e+02,2.163173116306536414e+01
2.230467430625922987e+01,1.141804578814067099e+02,2.236191173974606983e+01
2.230467410919270321e+01,1.141804590821470242e+02,2.224993642444458430e+01
2.230467143705281430e+01,1.141804589967174621e+02,2.289379289894022307e+01
2.230467110827598631e+01,1.141804599470735013e+02,2.281926640168290277e+01
2.230467035110985918e+01,1.141804609864953051e+02,2.320378804479747714e+01
2.230467150389988618e+01,1.141804614489129222e+02,2.249623328605411032e+01
2.230467097339325377e+01,1.141804608432270953e+02,2.296424891508101140e+01
2.230466892341666352e+01,1.141804591471753412e+02,2.253069538546626660e+01
2.230466911813617514e+01,1.141804589235217549e+02,2.253976083349041915e+01
2.230466900128627472e+01,1.141804598528518824e+02,2.228745385182269345e+01
2.230466965021308567e+01,1.141804622081395735e+02,2.255670720661972695e+01
2.230467110504773842e+01,1.141804591391265262e+02,2.299404935638296976e+01
2.230467045994796749e+01,1.141804587678243905e+02,2.298857317760057128e+01
2.230466930224478972e+01,1.141804583539812654e+02,2.329898236538602063e+01
2.230466952810913384e+01,1.141804556379180013e+02,2.338948657589134328e+01
2.230466900176315193e+01,1.141804539513808692e+02,2.346981775192524466e+01
2.230466862467854838e+01,1.141804543585584213e+02,2.355097785070691074e+01
2.230466800265790539e+01,1.141804570075344998e+02,2.304008843724255584e+01
2.230466907230364981e+01,1.141804555636152543e+02,2.337249299496120258e+01
2.230467077139791243e+01,1.141804492185363671e+02,2.428983251816837097e+01
2.230467043830711305e+01,1.141804482881219371e+02,2.494848325305198244e+01
2.230466976361623921e+01,1.141804420817666141e+02,2.442692041923757174e+01
2.230467055625800299e+01,1.141804349260483349e+02,2.583921401489661207e+01
2.230467149865818755e+01,1.141804298937243942e+02,2.736161441097875624e+01
2.230467132913621597e+01,1.141804274798145116e+02,2.784168906687672163e+01
2.230467221754900464e+01,1.141804175100449470e+02,2.767428474131036609e+01
2.230467274670373001e+01,1.141804103120639695e+02,2.918368908305535570e+01
2.230466996321105100e+01,1.141804099918312971e+02,2.929231132847626995e+01
2.230467163222806093e+01,1.141804103980906717e+02,2.820502313596128730e+01
2.230469381309675114e+01,1.141803950802895287e+02,2.191963005294724454e+01
2.230467296271174504e+01,1.141804049350927670e+02,2.977513031079431016e+01
2.230467074646881542e+01,1.141804102799894736e+02,2.949946624795497030e+01
2.230466674681290584e+01,1.141804118666507577e+02,2.961155133443911680e+01
2.230467421243540116e+01,1.141804111954563297e+02,2.278171869856259946e+01
2.230466766602533824e+01,1.141804189621096128e+02,2.239640451826018719e+01
2.230466748842813018e+01,1.141804228949177400e+02,2.295880959731860571e+01
2.230467047964129534e+01,1.141804190136805772e+02,2.466287988112316398e+01
2.230467849502563027e+01,1.141804170207323494e+02,2.676126592412989780e+01
2.230468110579323948e+01,1.141804189332582382e+02,2.761788932500575200e+01
2.230467470002840358e+01,1.141804216797020644e+02,2.769359407547402796e+01
2.230466777787714960e+01,1.141804219929041437e+02,2.866683767716135733e+01
2.230466694621519608e+01,1.141804277060006996e+02,2.807348989700989250e+01
2.230466992592190678e+01,1.141804290767480836e+02,2.808744594220036106e+01
2.230467128069157567e+01,1.141804297519705358e+02,2.768563986124699383e+01
2.230467420939062251e+01,1.141804283711149992e+02,2.766189396333448158e+01
2.230467103353434055e+01,1.141804232386183884e+02,2.873507020739097229e+01
2.230466700820283421e+01,1.141804204331061072e+02,2.935970355436620238e+01
2.230466192406971970e+01,1.141804154358126482e+02,3.059122265530096740e+01
2.230466050379432374e+01,1.141804163693690981e+02,3.120339073957626397e+01
2.230465728295721917e+01,1.141804145238622965e+02,3.165699546464715297e+01
2.230465640126525528e+01,1.141804182294717407e+02,3.107279441306938850e+01
2.230465775687086705e+01,1.141804162044152946e+02,3.131244144861360823e+01
2.230466398231643055e+01,1.141804033287537834e+02,3.389942662860854483e+01
2.230466458567773458e+01,1.141804069467055029e+02,3.378452865976381503e+01
2.230466334274586515e+01,1.141804122640399584e+02,3.353957144869314533e+01
2.230466072982552461e+01,1.141804072150693372e+02,3.489553378787994831e+01
2.230466271891816277e+01,1.141804103753914603e+02,3.382080110302856468e+01
2.230466322461903417e+01,1.141804112655457999e+02,3.317384003325548036e+01
2.230465869893953723e+01,1.141804027830811066e+02,3.380171664113928642e+01
2.230465350703204308e+01,1.141804015910114316e+02,3.344249870812959102e+01
2.230465665740043590e+01,1.141804032905460957e+02,3.287449980434551122e+01
2.230466077256110324e+01,1.141804036309090264e+02,3.290222280629869545e+01
2.230466607385946531e+01,1.141804017735552179e+02,3.270396863832758072e+01
2.230466872658955069e+01,1.141803991284159423e+02,3.261820955950087608e+01
2.230466584035816879e+01,1.141804082604512587e+02,2.979144897520773227e+01
2.230465877531944585e+01,1.141804132439019384e+02,2.786036400533958357e+01
2.230466137100030011e+01,1.141804189808570129e+02,2.733920182530714627e+01
2.230465556097042779e+01,1.141804251637457668e+02,2.580903496901793304e+01
2.230465640302111296e+01,1.141804241921622349e+02,2.627594243192673318e+01
2.230465710951369473e+01,1.141804245379262710e+02,2.654460293227529633e+01
2.230465647320754385e+01,1.141804307284329667e+02,2.639207510089076436e+01
2.230465582738289143e+01,1.141804413386308568e+02,2.453322922283869545e+01
2.230465940849138917e+01,1.141804336482438629e+02,2.622850776795456795e+01
2.230465881564060027e+01,1.141804251673233352e+02,2.754169193522242765e+01
2.230465957170128277e+01,1.141804199498806582e+02,2.826075524288994245e+01
2.230466128534268577e+01,1.141804212899591846e+02,2.767334450045221317e+01
2.230466310691584297e+01,1.141804198003833619e+02,2.765440890113820060e+01
2.230466282096733721e+01,1.141804208887579648e+02,2.676615858633936185e+01
2.230466436249195539e+01,1.141804204484107288e+02,2.659544566653197961e+01
2.230466448584482109e+01,1.141804145981699179e+02,2.730765160832581628e+01
2.230466067937509322e+01,1.141804124421798150e+02,2.775700139681501710e+01
2.230465748149483218e+01,1.141804121190460535e+02,2.776143130605170484e+01
2.230464671258646092e+01,1.141804309608131405e+02,2.996416316217509390e+01
2.230464877668241641e+01,1.141804377431191853e+02,2.910797987900900097e+01
2.230464888398837786e+01,1.141804426288101126e+02,2.855864724414604794e+01
2.230464844663182689e+01,1.141804453502512473e+02,2.814469377181992371e+01
2.230464790103036776e+01,1.141804476339886065e+02,2.803438025927409427e+01
2.230464620320162439e+01,1.141804479341491003e+02,2.783477980263219109e+01
2.230464620000341824e+01,1.141804489732033687e+02,2.746200027611634198e+01
2.230464464045491013e+01,1.141804474275984518e+02,2.758127662472235286e+01
2.230464535446665053e+01,1.141804462813075816e+02,2.779760706586997543e+01
2.230464719990644795e+01,1.141804452364897458e+02,2.857421866308111902e+01
2.230464659197583899e+01,1.141804430722326202e+02,2.943045735060952239e+01
2.230464148038271333e+01,1.141804411763015707e+02,3.034083161526062256e+01
2.230465634255268625e+01,1.141804215211979283e+02,2.665243347181612421e+01
2.230465577652593012e+01,1.141804245414287919e+02,2.666152518874406496e+01
2.230465634606993319e+01,1.141804250293364191e+02,2.647686241398765361e+01
2.230465776203384820e+01,1.141804262477620711e+02,2.676333028766303102e+01
2.230465761975474592e+01,1.141804268927039061e+02,2.746901521971464533e+01
2.230464972350169361e+01,1.141804279192178200e+02,2.644756786276690619e+01
2.230465332833303194e+01,1.141804310919105774e+02,2.638692360858897956e+01
2.230465666363053856e+01,1.141804350638203545e+02,2.618185323645945672e+01
2.230465753548334007e+01,1.141804340724713427e+02,2.647165586787363267e+01
2.230465957879189531e+01,1.141804319463283122e+02,2.667091732378744595e+01
2.230465676704483968e+01,1.141804298603150869e+02,2.754245131425974336e+01
2.230465830320311227e+01,1.141804331242306034e+02,2.751016153244622586e+01
2.230465010631920819e+01,1.141804481390687727e+02,2.817521897771419503e+01
2.230465228799413424e+01,1.141804512416981936e+02,2.895562493191696163e+01
2.230464665357272835e+01,1.141804534482992182e+02,2.920354244670116373e+01
2.230464906883654308e+01,1.141804576922286572e+02,2.961107929768662572e+01
2.230465211866759034e+01,1.141804584684158357e+02,3.006457708680449770e+01
2.230465622394481073e+01,1.141804570987514325e+02,2.953959132451388570e+01
2.230465390741298748e+01,1.141804559207473915e+02,3.007756556659201053e+01
2.230465670963118541e+01,1.141804557280674857e+02,3.014518750301116867e+01
2.230465232683267374e+01,1.141804507184989603e+02,2.985799594240186394e+01
2.230465189832718664e+01,1.141804507560293445e+02,2.966652718213613582e+01
2.230465015513741633e+01,1.141804492432964793e+02,2.931055212857719994e+01
2.230465296041564116e+01,1.141804507698322197e+02,2.929714517788379524e+01
2.230466446149581117e+01,1.141804343716538597e+02,2.848852583924348991e+01
2.230466431845495734e+01,1.141804315800838054e+02,2.742814350477886620e+01
2.230466464809875404e+01,1.141804371643983131e+02,2.796488097012813157e+01
2.230466515886329049e+01,1.141804407191388435e+02,2.857811419119422069e+01
2.230467096519377179e+01,1.141804406947887855e+02,2.856317869929360853e+01
2.230466979044685871e+01,1.141804414096956179e+02,2.825439319777877856e+01
2.230466868128379332e+01,1.141804393281742875e+02,2.778577661836880353e+01
2.230467190179368941e+01,1.141804397935605664e+02,2.774601115412190211e+01
2.230467064246533226e+01,1.141804405417916968e+02,2.794865192085890371e+01
2.230466863032673075e+01,1.141804401894094383e+02,2.751179066778681204e+01
2.230466041136446620e+01,1.141804422490123443e+02,2.720821534783687312e+01
2.230466069042509147e+01,1.141804449302821354e+02,2.741299480541072953e+01
2.230465663769999907e+01,1.141804446935177282e+02,2.716672910902855875e+01
2.230465830800979887e+01,1.141804455998322823e+02,2.770745637187662069e+01
2.230465747134020305e+01,1.141804449352927548e+02,2.753560630454483871e+01
2.230466186843141330e+01,1.141804442908349557e+02,2.783885744464448209e+01
2.230466624059747360e+01,1.141804427433256279e+02,2.818867572058500315e+01
2.230466381394203523e+01,1.141804422633073415e+02,2.829592823568176740e+01
2.230466236378335054e+01,1.141804417747691787e+02,2.817628452217555690e+01
2.230466795660609236e+01,1.141804400688597383e+02,2.841254864858044371e+01
2.230467159053924675e+01,1.141804388173343909e+02,2.855054866883456199e+01
2.230467479618582161e+01,1.141804393414509917e+02,2.864733011633012438e+01
2.230467634469453486e+01,1.141804391994376573e+02,2.901335705046561131e+01
2.230467982054384279e+01,1.141804382860340041e+02,2.923676062965919442e+01
2.230467553796981406e+01,1.141804408982617076e+02,2.930838136924449699e+01
2.230467103174696675e+01,1.141804473507666131e+02,3.036631827986525778e+01
2.230466893103382020e+01,1.141804489746334355e+02,3.020679401799202779e+01
2.230467756439193039e+01,1.141804478583807878e+02,3.025281384102841287e+01
2.230467265023041179e+01,1.141804458333505607e+02,2.939050411404525320e+01
2.230467194753359195e+01,1.141804485276516914e+02,2.984485473022114732e+01
2.230467233394019999e+01,1.141804490243629999e+02,3.039211196556018280e+01
2.230467555265700597e+01,1.141804462535763207e+02,2.987934963305088587e+01
2.230467720865759418e+01,1.141804413393353741e+02,2.929509786461650123e+01
2.230467755095945392e+01,1.141804396295034110e+02,2.934188444904711801e+01
2.230467726809430928e+01,1.141804378396980439e+02,2.936947596758617252e+01
2.230468139202719868e+01,1.141804370200656678e+02,2.935643377369791196e+01
2.230468046217727007e+01,1.141804322402361151e+02,2.850038338364006663e+01
2.230468175350282323e+01,1.141804286833731794e+02,2.838165402468175458e+01
2.230468166836559263e+01,1.141804243804258618e+02,2.812492638631508513e+01
2.230467854856725651e+01,1.141804188412606464e+02,2.741815025902810632e+01
2.230468363624109074e+01,1.141804142419130983e+02,2.736150795733037100e+01
2.230467952706697332e+01,1.141804105265380969e+02,2.684424606626541276e+01
2.230468128203951750e+01,1.141804071034673456e+02,2.609676708187899408e+01
2.230468351627641610e+01,1.141804042089839726e+02,2.569142720293298154e+01
2.230468214377847858e+01,1.141804015949386581e+02,2.538522789126650991e+01
2.230468293534514146e+01,1.141804001280272871e+02,2.475308977626508167e+01
2.230468728697161751e+01,1.141803997173528415e+02,2.492113912215693361e+01
2.230468946112030793e+01,1.141803987673856682e+02,2.491890632569454667e+01
2.230469044697849057e+01,1.141803983320533007e+02,2.516126424440425424e+01
2.230469408832948730e+01,1.141803977309273961e+02,2.467404007076037686e+01
2.230469435481843377e+01,1.141803952314513282e+02,2.374080055075249618e+01
2.230469261746564769e+01,1.141803935998409258e+02,2.318314886636431638e+01
2.230469825764135194e+01,1.141803947697881512e+02,2.342510392645871065e+01
2.230470001164875171e+01,1.141803961333904880e+02,2.315319455578851660e+01
2.230469880067507660e+01,1.141803970621774624e+02,2.331898307471215759e+01
2.230469917766527388e+01,1.141804002891387171e+02,2.405690737106282739e+01
2.230470107186195605e+01,1.141804033093857953e+02,2.456746381291377546e+01
2.230469828894503337e+01,1.141804061324972110e+02,2.477708188184802296e+01
2.230470090913256698e+01,1.141804069570355438e+02,2.457442191309815982e+01
2.230470481599459376e+01,1.141804054320463422e+02,2.465280495038960140e+01
2.230470246345144858e+01,1.141804054342668167e+02,2.466423795577286526e+01
2.230470311989706289e+01,1.141804046302446807e+02,2.453984724744742252e+01
2.230470413618628811e+01,1.141804039005287734e+02,2.464947819111781513e+01
2.230470442822493737e+01,1.141804040615486429e+02,2.465713488457589264e+01
2.230470471796952836e+01,1.141804069589906163e+02,2.521985015355494752e+01
2.230470464299859756e+01,1.141804059043361121e+02,2.522907291720215994e+01
2.230470431444722479e+01,1.141804049187660155e+02,2.557022718278556539e+01
2.230470404895234893e+01,1.141804065886669122e+02,2.582533755794643682e+01
2.230470480539499079e+01,1.141804059493356789e+02,2.551469686195028785e+01
2.230470480676019562e+01,1.141804060660811331e+02,2.529204658089551572e+01
2.230470611498925493e+01,1.141804070831644822e+02,2.448661515349853701e+01
2.230470465461272056e+01,1.141804032615912945e+02,2.593048837778036386e+01
2.230470671258909832e+01,1.141804029993768097e+02,2.597952100145656473e+01
2.230470813752389603e+01,1.141804076724386334e+02,2.569931236552908516e+01
2.230470745338421779e+01,1.141804059392102317e+02,2.702033349882692903e+01
2.230470795064396583e+01,1.141804029918360470e+02,2.728519421319433036e+01
2.230470908364145188e+01,1.141804015593643271e+02,2.644454578408291567e+01
2.230471089390938033e+01,1.141804009108233231e+02,2.557237261424698005e+01
2.230471110455211203e+01,1.141804009171561205e+02,2.577254896157980468e+01
2.230470448831775343e+01,1.141804118612919012e+02,2.693429626508737229e+01
2.230470572451399747e+01,1.141804119774430291e+02,2.713104812894846418e+01
2.230470738792819319e+01,1.141804089766176133e+02,2.574453973119326378e+01
2.230470711967124231e+01,1.141804089785535155e+02,2.586281527333017394e+01
2.230470761694989790e+01,1.141804093176410788e+02,2.618835828021155976e+01
2.230470661710161906e+01,1.141804122723488319e+02,2.577032726576423727e+01
2.230470796745919770e+01,1.141804102228703925e+02,2.529134267409678927e+01
2.230470791540103193e+01,1.141804127204615895e+02,2.684716727903646927e+01
2.230471453032550855e+01,1.141804305170776956e+02,2.968584792693917151e+01
2.230471459875779061e+01,1.141804289067581664e+02,2.943946918186158612e+01
2.230471777546047463e+01,1.141804334877115679e+02,2.900205438507320821e+01
2.230471956545014223e+01,1.141804355231501376e+02,2.876238465233485897e+01
2.230471734458779665e+01,1.141804311096218925e+02,2.910038216201687788e+01
2.230472195591788065e+01,1.141804168718162629e+02,2.897013493100006798e+01
2.230471956257445143e+01,1.141804313042729575e+02,2.848080838784792945e+01
2.230472214394796282e+01,1.141804355566475095e+02,2.841654630813423310e+01
2.230472179024973300e+01,1.141804312365282073e+02,2.804284111765286625e+01
2.230472209232560132e+01,1.141804247436842275e+02,2.751969611256937753e+01
2.230472328943109162e+01,1.141804227457996035e+02,2.697817100457714190e+01
2.230472366127064987e+01,1.141804272429572507e+02,2.668587535008258627e+01
2.230472562068113618e+01,1.141804269610646827e+02,2.621573609372414992e+01
2.230472634444915059e+01,1.141804238458672529e+02,2.611455477088547639e+01
2.230472809919547927e+01,1.141804244782741051e+02,2.528114024859628017e+01
2.230473072897985531e+01,1.141804291240710540e+02,2.529518015510534212e+01
2.230472876045319452e+01,1.141804306137058802e+02,2.622931033641970799e+01
2.230472512719984834e+01,1.141804373949778011e+02,2.640940202582357799e+01
2.230472454098879354e+01,1.141804367763240720e+02,2.676881137821751722e+01
2.230472615085671251e+01,1.141804368589850327e+02,2.737052492695934092e+01
2.230475230294309696e+01,1.141805196078953486e+02,3.784658387666307533e+01
2.230475307159514387e+01,1.141805167923115079e+02,3.751711421896360577e+01
2.230475406076427802e+01,1.141805218032234706e+02,3.806256693541558178e+01
2.230475426703516462e+01,1.141805229851809003e+02,3.791193774897205770e+01
2.230475467406613532e+01,1.141805238274070859e+02,3.809746306681422823e+01
2.230475742038906617e+01,1.141805281809516401e+02,3.872767463809113053e+01
2.230475766374042479e+01,1.141805259597896764e+02,3.839210213531709570e+01
2.230475610270347886e+01,1.141805294062112068e+02,3.880234320405026693e+01
2.230475797526296589e+01,1.141805326926274802e+02,3.921608514442583981e+01
2.230475576650168890e+01,1.141805414304639754e+02,4.027519814477546589e+01
2.230475710077147866e+01,1.141805385594423825e+02,4.016831712418696299e+01
2.230473321037257506e+01,1.141804563987107599e+02,2.971328351158211589e+01
2.230473527721307292e+01,1.141804580329288115e+02,2.994131884838217772e+01
2.230473575111195572e+01,1.141804557569356717e+02,2.929840636798977016e+01
2.230473866582086373e+01,1.141804561195290830e+02,2.899276174378909943e+01
2.230473747689625696e+01,1.141804578246117217e+02,2.882943599681025049e+01
2.230473626321955649e+01,1.141804568971623581e+02,2.849419775517298348e+01
2.230473739938546984e+01,1.141804572232296806e+02,2.822389483247377129e+01
2.230473747430476550e+01,1.141804564138728608e+02,2.823427909118109724e+01
2.230473617085498006e+01,1.141804592329728507e+02,2.821077922824479245e+01
2.230476037739108364e+01,1.141805306347108484e+02,3.679528632049405701e+01
2.230475798939227516e+01,1.141805311921174706e+02,3.662060981186071729e+01
2.230475587224339051e+01,1.141805311632481050e+02,3.665172115601182412e+01
2.230475616629188096e+01,1.141805321567587441e+02,3.681115241017274542e+01
2.230475731726569677e+01,1.141805327865471469e+02,3.678488023982641408e+01
2.230475674313205303e+01,1.141805312713608771e+02,3.638183447675260851e+01
2.230475493810369159e+01,1.141805331014745803e+02,3.686388050708366393e+01
2.230475409458320257e+01,1.141805338027954377e+02,3.688318678133963857e+01
2.230475480294338908e+01,1.141805326588095113e+02,3.700514870433013215e+01
2.230475613007717328e+01,1.141805315709501514e+02,3.690263221841561858e+01
2.230475679494436037e+01,1.141805271450687371e+02,3.626188050470993574e+01
2.230475873592917324e+01,1.141805221016558107e+02,3.542071696938197078e+01
2.230475759779164591e+01,1.141805203637256056e+02,3.520441261096918595e+01
2.230473591518802223e+01,1.141804586220296187e+02,2.747769253162249115e+01
2.230473398822867281e+01,1.141804564835596381e+02,2.715339700510277154e+01
2.230473195276873710e+01,1.141804550077775673e+02,2.688272019325586371e+01
2.230473376021032905e+01,1.141804496069469224e+02,2.604270503039810691e+01
2.230473535291003273e+01,1.141804480164705353e+02,2.599185493666782421e+01
2.230473704396394652e+01,1.141804485235489892e+02,2.590609386578928053e+01
2.230473747130319850e+01,1.141804451858360920e+02,2.539229389339222109e+01
2.230473771559234564e+01,1.141804449324067861e+02,2.493854107292043309e+01
2.230474051292772231e+01,1.141804476613194481e+02,2.506945489893443124e+01
2.230473979172683840e+01,1.141804463412979089e+02,2.506821816794637670e+01
2.230474011937493728e+01,1.141804455550712305e+02,2.500656205595112169e+01
2.230474089635088220e+01,1.141804406295806444e+02,2.452819471264708540e+01
2.230473777240014499e+01,1.141804433347769105e+02,2.497316674736678266e+01
2.230473779427909875e+01,1.141804481398259981e+02,2.561095209946480367e+01
2.230473223901725888e+01,1.141804520777141363e+02,2.617291666769150638e+01
2.230473493000505414e+01,1.141804505471358198e+02,2.596335893325306188e+01
2.230473395087262389e+01,1.141804486707819422e+02,2.559742998400766822e+01
2.230473177380120475e+01,1.141804531855493252e+02,2.618571572958765614e+01
2.230473086552500206e+01,1.141804540605081542e+02,2.636446738963752523e+01
2.230473161805773330e+01,1.141804525013361626e+02,2.573848774216993718e+01
2.230473034167087931e+01,1.141804542761221626e+02,2.633501134077411265e+01
2.230473084178680665e+01,1.141804535124910842e+02,2.597229818772733978e+01
2.230472889381000456e+01,1.141804543542831709e+02,2.599549413733072711e+01
2.230473104227646175e+01,1.141804569415262307e+02,2.648186744857848396e+01
2.230473323753604831e+01,1.141804583378508084e+02,2.621337452291682268e+01
2.230473583607615851e+01,1.141804573934878988e+02,2.619770171447684248e+01
2.230473634903411195e+01,1.141804619334125164e+02,2.672963419762721671e+01
2.230474001094029290e+01,1.141804625575904311e+02,2.693649278688819848e+01
2.230474306208339641e+01,1.141804626568889489e+02,2.628791785479655019e+01
