east_err(m),north_err(m),up_err(m),2d_err(m),3d_err(m)
4.460440374423150206e+05,2.549504009960601572e+06,6.495468978386544622e+06,2.588228347758951131e+06,6.992141533845333382e+06
4.460447508556124521e+05,2.549504476221549325e+06,6.495467438692582771e+06,2.588228929990460165e+06,6.992140319040739909e+06
4.460452989444939303e+05,2.549504840813529212e+06,6.495467331596420147e+06,2.588229383582935669e+06,6.992140387454933487e+06
4.460458298555802903e+05,2.549505062706093304e+06,6.495465707684018649e+06,2.588229693650769070e+06,6.992138993669576943e+06
4.460460335506656556e+05,2.549505243872602470e+06,6.495464567175784148e+06,2.588229907210752368e+06,6.992138013227161020e+06
4.460466048363971640e+05,2.549505447145729326e+06,6.495463504412090406e+06,2.588230205895878840e+06,6.992137136517075822e+06
4.460468953833432170e+05,2.549505527141206432e+06,6.495461965759123676e+06,2.588230334766339976e+06,6.992135754862605594e+06
4.460474639066584059e+05,2.549505938235376030e+06,6.495460827579878271e+06,2.588230837687204126e+06,6.992134883694656193e+06
4.460479210222620750e+05,2.549506478333221283e+06,6.495458654899379238e+06,2.588231448482022155e+06,6.992133091440593824e+06
4.460474160996992723e+05,2.549506652561333496e+06,6.495458107821350917e+06,2.588231533086581156e+06,6.992132614540848881e+06
4.460476014748043963e+05,2.549507487748503685e+06,6.495456443820483983e+06,2.588232387724702246e+06,6.992131385095402598e+06
4.460478940730845206e+05,2.549508088443897665e+06,6.495455338760729879e+06,2.588233029857993592e+06,6.992130596226243302e+06
4.460483323045629077e+05,2.549508531536836177e+06,6.495453032898128033e+06,2.588233541844861582e+06,6.992128643676136620e+06
4.460487954369054642e+05,2.549508872369420249e+06,6.495451648869249970e+06,2.588233957392782904e+06,6.992127511780614033e+06
