epoch,nsat,PDOP,HDOP,VDOP,east_error_m,north_error_m,up_error_m,2d_error_m,3d_error_m
1,6,3.193494,1.280204,2.925659,26.200073,-6.973434,3.701971,27.112223,27.363794
2,6,3.193558,1.280204,2.925729,26.227029,-7.016632,3.845337,27.149405,27.420372
3,6,3.193623,1.280204,2.925799,26.302382,-7.023386,3.942259,27.223946,27.507901
4,6,3.193687,1.280204,2.925870,26.288750,-7.003380,3.916955,27.205619,27.486147
5,6,3.193751,1.280204,2.925940,26.326581,-7.025403,3.978668,27.247847,27.536792
6,6,3.193816,1.280204,2.926010,26.330075,-7.022546,3.990540,27.250487,27.541122
7,6,3.193880,1.280204,2.926081,26.343107,-7.057852,3.956564,27.272194,27.557703
8,6,3.193945,1.280205,2.926151,26.393085,-7.072523,3.972944,27.324266,27.611588
9,6,3.194009,1.280205,2.926221,26.379580,-7.109950,4.001428,27.320937,27.612407
10,6,3.194074,1.280205,2.926292,26.447832,-7.128598,4.111251,27.391690,27.698503
11,6,3.194138,1.280205,2.926362,26.499306,-7.157614,4.144327,27.448946,27.760045
12,6,3.194203,1.280205,2.926432,26.533819,-7.139851,4.209833,27.477645,27.798268
13,6,3.194267,1.280205,2.926503,26.538211,-7.158989,4.260846,27.486865,27.815150
14,6,3.194331,1.280205,2.926573,26.601898,-7.168634,4.329358,27.550867,27.888952
15,6,3.194396,1.280205,2.926643,26.626325,-7.183378,4.445031,27.578290,27.934215
16,6,3.194460,1.280205,2.926714,26.665330,-7.221694,4.592837,27.625942,28.005121
17,6,3.194525,1.280205,2.926784,26.715985,-7.236012,4.716627,27.678579,28.077576
18,6,3.194589,1.280205,2.926854,26.707860,-7.280036,4.751378,27.682281,28.087084
19,6,3.194654,1.280205,2.926925,26.713204,-7.302624,4.740945,27.693385,28.096266
20,6,3.194718,1.280205,2.926995,26.742140,-7.289688,4.814331,27.717893,28.132888
21,6,3.194783,1.280205,2.927065,26.768881,-7.317119,4.934087,27.750914,28.186139
22,6,3.194847,1.280205,2.927136,26.776865,-7.299387,4.925212,27.753947,28.187573
23,6,3.194912,1.280205,2.927206,26.832877,-7.298005,4.923488,27.807627,28.240129
24,6,3.194976,1.280205,2.927277,26.880252,-7.318481,4.931942,27.858717,28.291910
25,6,3.195041,1.280205,2.927347,26.871192,-7.292036,4.945004,27.843037,28.278752
26,6,3.195105,1.280205,2.927417,26.910224,-7.326779,5.005322,27.889816,28.335404
27,6,3.195170,1.280205,2.927488,26.962098,-7.308689,4.987064,27.935133,28.376794
28,6,3.195234,1.280205,2.927558,27.044079,-7.309543,5.128445,28.014490,28.480038
29,6,3.195299,1.280205,2.927628,27.122877,-7.327898,5.228371,28.095347,28.577690
30,6,3.195363,1.280205,2.927699,27.200682,-7.343248,5.313200,28.174463,28.671074
31,6,3.195428,1.280205,2.927769,27.228847,-7.390622,5.442995,28.214029,28.734258
32,6,3.195492,1.280205,2.927840,27.192320,-7.401891,5.445582,28.181736,28.703041
33,6,3.195557,1.280205,2.927910,27.205023,-7.425674,5.483362,28.200247,28.728404
34,6,3.195621,1.280205,2.927980,27.158589,-7.414225,5.525665,28.152437,28.689592
35,6,3.195686,1.280206,2.928051,27.153951,-7.466616,5.650912,28.161808,28.723165
36,6,3.195750,1.280206,2.928121,27.184719,-7.466304,5.641675,28.191393,28.750359
37,6,3.195815,1.280206,2.928192,27.228234,-7.450027,5.698512,28.229057,28.798484
38,6,3.195879,1.280206,2.928262,27.295848,-7.426560,5.782624,28.288109,28.873099
39,6,3.195944,1.280206,2.928333,27.318415,-7.417479,5.876606,28.307504,28.911059
40,7,2.793754,1.275653,2.485512,25.805433,-7.378059,27.469565,26.839451,38.404858
41,7,2.793761,1.275653,2.485520,25.640372,-7.342971,30.168299,26.671106,40.267532
42,7,2.793768,1.275654,2.485528,25.757830,-7.313772,29.059676,26.776054,39.514831
43,7,2.793776,1.275654,2.485536,25.966900,-7.325229,26.341960,26.980342,37.707263
44,7,2.793783,1.275654,2.485544,25.776778,-7.295465,28.569426,26.789290,39.164757
45,7,2.793791,1.275655,2.485552,25.810345,-7.260199,27.332202,26.812019,38.287513
46,7,2.793798,1.275655,2.485560,25.715741,-7.203948,28.782267,26.705733,39.263407
47,7,2.793805,1.275655,2.485568,25.612485,-7.151772,30.170925,26.592240,40.217309
48,7,2.793812,1.275655,2.485576,25.463045,-7.064191,31.723796,26.424788,41.287634
49,7,2.793819,1.275656,2.485584,25.404007,-7.035102,32.032634,26.360126,41.484285
50,7,2.793826,1.275656,2.485592,25.232403,-7.025971,34.067945,26.192336,42.972821
51,6,3.196719,1.280206,2.929178,27.094578,-6.982878,6.686549,27.979935,28.767806
52,6,3.196784,1.280206,2.929249,27.024125,-6.932411,6.796369,27.899134,28.715019
53,6,3.196848,1.280206,2.929319,26.960579,-6.837954,6.792638,27.814213,28.631632
54,7,2.793856,1.275658,2.485625,25.528739,-6.728542,26.095258,26.400564,37.120779
55,7,2.793864,1.275658,2.485634,25.835477,-6.641511,20.827534,26.675485,33.843281
56,7,2.793872,1.275659,2.485642,25.961086,-6.605515,17.943417,26.788259,32.242472
57,7,2.793879,1.275659,2.485650,26.022591,-6.530289,16.250548,26.829459,31.367183
58,6,3.197171,1.280207,2.929672,26.318519,-6.364890,7.006459,27.077228,27.969032
59,6,3.197236,1.280207,2.929742,26.220180,-6.372852,6.996859,26.983534,27.875924
60,7,2.793901,1.275660,2.485674,25.539967,-6.341175,15.557625,26.315403,30.570249
61,7,2.793909,1.275660,2.485683,26.091861,-6.336327,10.017086,26.850219,28.657918
62,7,2.793916,1.275661,2.485691,26.085977,-6.398860,11.482477,26.859330,29.210801
63,7,2.793924,1.275661,2.485699,26.205273,-6.461410,12.145793,26.990112,29.597067
64,7,2.793931,1.275661,2.485707,26.860805,-6.624870,10.873468,27.665715,29.725815
65,7,2.793938,1.275662,2.485715,27.042157,-6.634557,10.842722,27.844130,29.880767
66,7,2.793946,1.275662,2.485723,26.765076,-6.503187,9.128815,27.543796,29.017167
67,7,2.793953,1.275662,2.485731,27.100351,-6.573902,10.148910,27.886290,29.675673
68,7,2.793960,1.275663,2.485739,27.151701,-6.603798,9.887475,27.943247,29.640972
69,7,2.793967,1.275663,2.485747,27.882504,-6.762320,10.191922,28.690818,30.447304
70,7,2.793975,1.275663,2.485755,28.362417,-6.866600,10.166615,29.181790,30.902054
71,7,2.793982,1.275663,2.485763,28.158420,-6.778212,8.218929,28.962748,30.106337
72,7,2.793990,1.275664,2.485771,28.679779,-6.897643,7.515156,29.497579,30.439855
73,7,2.793997,1.275664,2.485780,28.139490,-6.763435,6.553649,28.940887,29.673646
74,7,2.794004,1.275664,2.485788,28.147503,-6.799153,5.827971,28.957045,29.537699
75,7,2.794012,1.275665,2.485796,28.265760,-6.777161,4.831173,29.066873,29.465630
76,7,2.794019,1.275665,2.485804,27.774074,-6.583122,3.980913,28.543593,28.819860
77,7,2.794026,1.275666,2.485812,27.376571,-6.460729,3.167629,28.128591,28.306386
78,7,2.794033,1.275666,2.485820,28.108552,-6.632432,4.980834,28.880440,29.306800
79,7,2.794041,1.275666,2.485828,27.693746,-6.562927,5.157589,28.460773,28.924321
80,7,2.794048,1.275666,2.485836,27.021761,-6.345888,4.389863,27.756907,28.101900
81,7,2.794055,1.275667,2.485844,26.898384,-6.325022,5.486082,27.632028,28.171370
82,7,2.794062,1.275667,2.485852,26.820687,-6.307759,5.366130,27.552442,28.070134
83,7,2.794069,1.275667,2.485859,27.833261,-6.558504,6.590065,28.595531,29.345073
84,7,2.794077,1.275667,2.485867,27.892927,-6.586077,6.897545,28.659934,29.478262
85,7,2.794084,1.275668,2.485875,27.377512,-6.420475,5.964214,28.120289,28.745826
86,7,2.794091,1.275668,2.485884,27.548579,-6.465957,4.930952,28.297223,28.723633
87,7,2.794098,1.275668,2.485891,27.716825,-6.527994,5.341894,28.475202,28.971934
88,7,2.794106,1.275669,2.485899,27.544649,-6.481137,4.813811,28.296870,28.703407
89,7,2.794113,1.275669,2.485908,27.392318,-6.399587,4.065863,28.129945,28.422263
90,7,2.794120,1.275669,2.485916,26.947847,-6.277472,3.871383,27.669354,27.938875
91,7,2.794128,1.275670,2.485923,26.501975,-6.132723,4.254663,27.202298,27.533019
92,7,2.794135,1.275670,2.485931,26.561313,-6.092463,4.483222,27.251082,27.617399
93,7,2.794142,1.275670,2.485939,26.353123,-6.073109,4.896606,27.043849,27.483568
94,7,2.794149,1.275671,2.485947,26.291125,-6.052280,4.295025,26.978757,27.318502
95,7,2.794156,1.275671,2.485955,26.842677,-6.245805,4.887360,27.559742,27.989742
96,7,2.794164,1.275671,2.485963,26.867394,-6.177603,4.631757,27.568453,27.954835
97,7,2.794171,1.275671,2.485971,26.690217,-6.026732,4.369227,27.362185,27.708831
98,7,2.794178,1.275672,2.485979,27.134115,-5.992030,4.356016,27.787851,28.127202
99,7,2.794185,1.275672,2.485987,26.682949,-5.874310,4.061640,27.321919,27.622169
100,7,2.794192,1.275672,2.485995,27.165842,-6.025340,3.980361,27.826026,28.109269
