iTOW,tAcc,nano,year,month,day,hour,min,sec,validTOW,validWKN,validUTC,authStatus,utcStandard
94495500,22,500364096,2025,10,27,2,14,37,1,1,1,0,3
94495600,22,600364076,2025,10,27,2,14,37,1,1,1,0,3
94495700,22,700364055,2025,10,27,2,14,37,1,1,1,0,3
94495800,22,800364034,2025,10,27,2,14,37,1,1,1,0,3
94495900,22,900364013,2025,10,27,2,14,37,1,1,1,0,3
94496000,22,363991,2025,10,27,2,14,38,1,1,1,0,3
94496100,22,100363970,2025,10,27,2,14,38,1,1,1,0,3
94496200,22,200363949,2025,10,27,2,14,38,1,1,1,0,3
94496300,22,300363928,2025,10,27,2,14,38,1,1,1,0,3
94496400,22,400363907,2025,10,27,2,14,38,1,1,1,0,3
94496500,22,500363886,2025,10,27,2,14,38,1,1,1,0,3
94496600,22,600363865,2025,10,27,2,14,38,1,1,1,0,3
94496700,22,700363844,2025,10,27,2,14,38,1,1,1,0,3
94496800,22,800363823,2025,10,27,2,14,38,1,1,1,0,3
94496900,22,900363802,2025,10,27,2,14,38,1,1,1,0,3
94497000,22,363781,2025,10,27,2,14,39,1,1,1,0,3
94497100,22,100363760,2025,10,27,2,14,39,1,1,1,0,3
94497200,22,200363739,2025,10,27,2,14,39,1,1,1,0,3
94497300,22,300363717,2025,10,27,2,14,39,1,1,1,0,3
94497400,22,400363696,2025,10,27,2,14,39,1,1,1,0,3
94497500,22,500363675,2025,10,27,2,14,39,1,1,1,0,3
94497600,22,600363654,2025,10,27,2,14,39,1,1,1,0,3
94497700,22,700363633,2025,10,27,2,14,39,1,1,1,0,3
94497800,22,800363612,2025,10,27,2,14,39,1,1,1,0,3
94497900,22,900363591,2025,10,27,2,14,39,1,1,1,0,3
94498000,22,363569,2025,10,27,2,14,40,1,1,1,0,3
94498100,22,100363548,2025,10,27,2,14,40,1,1,1,0,3
94498200,22,200363527,2025,10,27,2,14,40,1,1,1,0,3
94498300,22,300363506,2025,10,27,2,14,40,1,1,1,0,3
94498400,22,400363485,2025,10,27,2,14,40,1,1,1,0,3
94498500,22,500363464,2025,10,27,2,14,40,1,1,1,0,3
94498600,22,600363443,2025,10,27,2,14,40,1,1,1,0,3
94498700,22,700363421,2025,10,27,2,14,40,1,1,1,0,3
94498800,22,800363400,2025,10,27,2,14,40,1,1,1,0,3
94498900,22,900363379,2025,10,27,2,14,40,1,1,1,0,3
94499000,22,363357,2025,10,27,2,14,41,1,1,1,0,3
94499100,22,100363336,2025,10,27,2,14,41,1,1,1,0,3
94499200,22,200363315,2025,10,27,2,14,41,1,1,1,0,3
94499300,22,300363294,2025,10,27,2,14,41,1,1,1,0,3
94499400,22,400363273,2025,10,27,2,14,41,1,1,1,0,3
94499500,22,500363251,2025,10,27,2,14,41,1,1,1,0,3
94499600,22,600363230,2025,10,27,2,14,41,1,1,1,0,3
94499700,22,700363209,2025,10,27,2,14,41,1,1,1,0,3
94499800,22,800363188,2025,10,27,2,14,41,1,1,1,0,3
94499900,22,900363167,2025,10,27,2,14,41,1,1,1,0,3
94500000,22,363145,2025,10,27,2,14,42,1,1,1,0,3
94500100,22,100363124,2025,10,27,2,14,42,1,1,1,0,3
94500200,22,200363103,2025,10,27,2,14,42,1,1,1,0,3
94500300,22,300363082,2025,10,27,2,14,42,1,1,1,0,3
94500400,22,400363061,2025,10,27,2,14,42,1,1,1,0,3
94500500,22,500363040,2025,10,27,2,14,42,1,1,1,0,3
94500600,22,600363019,2025,10,27,2,14,42,1,1,1,0,3
94500700,22,700362998,2025,10,27,2,14,42,1,1,1,0,3
94500800,22,800362977,2025,10,27,2,14,42,1,1,1,0,3
94500900,22,900362955,2025,10,27,2,14,42,1,1,1,0,3
94501000,22,362934,2025,10,27,2,14,43,1,1,1,0,3
94501100,22,100362913,2025,10,27,2,14,43,1,1,1,0,3
94501200,22,200362891,2025,10,27,2,14,43,1,1,1,0,3
94501300,22,300362870,2025,10,27,2,14,43,1,1,1,0,3
94501400,22,400362849,2025,10,27,2,14,43,1,1,1,0,3
94501500,22,500362828,2025,10,27,2,14,43,1,1,1,0,3
94501600,22,600362807,2025,10,27,2,14,43,1,1,1,0,3
94501700,22,700362786,2025,10,27,2,14,43,1,1,1,0,3
94501800,22,800362764,2025,10,27,2,14,43,1,1,1,0,3
94501900,22,900362743,2025,10,27,2,14,43,1,1,1,0,3
94502000,22,362721,2025,10,27,2,14,44,1,1,1,0,3
94502100,25,100362705,2025,10,27,2,14,44,1,1,1,0,3
94502200,24,200362683,2025,10,27,2,14,44,1,1,1,0,3
94502300,23,300362661,2025,10,27,2,14,44,1,1,1,0,3
94502400,23,400362640,2025,10,27,2,14,44,1,1,1,0,3
94502500,23,500362619,2025,10,27,2,14,44,1,1,1,0,3
94502600,23,600362597,2025,10,27,2,14,44,1,1,1,0,3
94502700,22,700362576,2025,10,27,2,14,44,1,1,1,0,3
94502800,22,800362555,2025,10,27,2,14,44,1,1,1,0,3
94502900,22,900362533,2025,10,27,2,14,44,1,1,1,0,3
94503000,22,362512,2025,10,27,2,14,45,1,1,1,0,3
94503100,22,100362491,2025,10,27,2,14,45,1,1,1,0,3
94503200,22,200362470,2025,10,27,2,14,45,1,1,1,0,3
94503300,22,300362449,2025,10,27,2,14,45,1,1,1,0,3
94503400,22,400362427,2025,10,27,2,14,45,1,1,1,0,3
94503500,22,500362406,2025,10,27,2,14,45,1,1,1,0,3
94503600,22,600362385,2025,10,27,2,14,45,1,1,1,0,3
94503700,22,700362364,2025,10,27,2,14,45,1,1,1,0,3
94503800,22,800362343,2025,10,27,2,14,45,1,1,1,0,3
94503900,22,900362322,2025,10,27,2,14,45,1,1,1,0,3
94504000,22,362301,2025,10,27,2,14,46,1,1,1,0,3
94504100,22,100362280,2025,10,27,2,14,46,1,1,1,0,3
94504200,22,200362258,2025,10,27,2,14,46,1,1,1,0,3
94504300,22,300362237,2025,10,27,2,14,46,1,1,1,0,3
94504400,22,400362216,2025,10,27,2,14,46,1,1,1,0,3
94504500,22,500362195,2025,10,27,2,14,46,1,1,1,0,3
94504600,22,600362173,2025,10,27,2,14,46,1,1,1,0,3
94504700,22,700362152,2025,10,27,2,14,46,1,1,1,0,3
94504800,22,800362131,2025,10,27,2,14,46,1,1,1,0,3
94504900,22,900362110,2025,10,27,2,14,46,1,1,1,0,3
94505000,22,362088,2025,10,27,2,14,47,1,1,1,0,3
94505100,22,100362067,2025,10,27,2,14,47,1,1,1,0,3
94505200,22,200362046,2025,10,27,2,14,47,1,1,1,0,3
94505300,22,300362025,2025,10,27,2,14,47,1,1,1,0,3
94505400,22,400362004,2025,10,27,2,14,47,1,1,1,0,3
94505500,22,500361984,2025,10,27,2,14,47,1,1,1,0,3
94505600,22,600361963,2025,10,27,2,14,47,1,1,1,0,3
94505700,22,700361942,2025,10,27,2,14,47,1,1,1,0,3
94505800,22,800361921,2025,10,27,2,14,47,1,1,1,0,3
94505900,22,900361900,2025,10,27,2,14,47,1,1,1,0,3
94506000,22,361879,2025,10,27,2,14,48,1,1,1,0,3
94506200,22,200361837,2025,10,27,2,14,48,1,1,1,0,3
94506400,22,400361796,2025,10,27,2,14,48,1,1,1,0,3
94506500,22,500361775,2025,10,27,2,14,48,1,1,1,0,3
94506600,22,600361754,2025,10,27,2,14,48,1,1,1,0,3
94506700,22,700361733,2025,10,27,2,14,48,1,1,1,0,3
94506800,22,800361712,2025,10,27,2,14,48,1,1,1,0,3
94506900,22,900361691,2025,10,27,2,14,48,1,1,1,0,3
94507000,22,361670,2025,10,27,2,14,49,1,1,1,0,3
94507100,22,100361648,2025,10,27,2,14,49,1,1,1,0,3
94507200,22,200361627,2025,10,27,2,14,49,1,1,1,0,3
94507400,22,400361585,2025,10,27,2,14,49,1,1,1,0,3
94507600,22,600361543,2025,10,27,2,14,49,1,1,1,0,3
94507700,22,700361522,2025,10,27,2,14,49,1,1,1,0,3
94507800,22,800361500,2025,10,27,2,14,49,1,1,1,0,3
94507900,22,900361479,2025,10,27,2,14,49,1,1,1,0,3
94508000,22,361458,2025,10,27,2,14,50,1,1,1,0,3
94508100,22,100361437,2025,10,27,2,14,50,1,1,1,0,3
94508200,22,200361415,2025,10,27,2,14,50,1,1,1,0,3
94508300,22,300361394,2025,10,27,2,14,50,1,1,1,0,3
94508400,22,400361373,2025,10,27,2,14,50,1,1,1,0,3
94508500,22,500361352,2025,10,27,2,14,50,1,1,1,0,3
94508600,22,600361330,2025,10,27,2,14,50,1,1,1,0,3
94508700,22,700361309,2025,10,27,2,14,50,1,1,1,0,3
94508800,22,800361288,2025,10,27,2,14,50,1,1,1,0,3
94508900,22,900361267,2025,10,27,2,14,50,1,1,1,0,3
94509000,22,361246,2025,10,27,2,14,51,1,1,1,0,3
94509200,22,200361203,2025,10,27,2,14,51,1,1,1,0,3
94509400,22,400361161,2025,10,27,2,14,51,1,1,1,0,3
94509600,22,600361118,2025,10,27,2,14,51,1,1,1,0,3
94509700,22,700361097,2025,10,27,2,14,51,1,1,1,0,3
94509900,22,900361054,2025,10,27,2,14,51,1,1,1,0,3
94510100,22,100361012,2025,10,27,2,14,52,1,1,1,0,3
94510300,22,300360969,2025,10,27,2,14,52,1,1,1,0,3
94510400,22,400360948,2025,10,27,2,14,52,1,1,1,0,3
94510500,22,500360927,2025,10,27,2,14,52,1,1,1,0,3
94510600,22,600360905,2025,10,27,2,14,52,1,1,1,0,3
94510700,22,700360884,2025,10,27,2,14,52,1,1,1,0,3
94510800,22,800360863,2025,10,27,2,14,52,1,1,1,0,3
94510900,22,900360841,2025,10,27,2,14,52,1,1,1,0,3
94511000,22,360820,2025,10,27,2,14,53,1,1,1,0,3
94511100,22,100360799,2025,10,27,2,14,53,1,1,1,0,3
94511200,22,200360777,2025,10,27,2,14,53,1,1,1,0,3
94511300,22,300360756,2025,10,27,2,14,53,1,1,1,0,3
94511400,22,400360735,2025,10,27,2,14,53,1,1,1,0,3
94511500,22,500360714,2025,10,27,2,14,53,1,1,1,0,3
94511600,22,600360693,2025,10,27,2,14,53,1,1,1,0,3
94511700,22,700360671,2025,10,27,2,14,53,1,1,1,0,3
94511900,22,900360629,2025,10,27,2,14,53,1,1,1,0,3
94512000,22,360608,2025,10,27,2,14,54,1,1,1,0,3
94512200,22,200360565,2025,10,27,2,14,54,1,1,1,0,3
94512300,22,300360544,2025,10,27,2,14,54,1,1,1,0,3
94512400,22,400360523,2025,10,27,2,14,54,1,1,1,0,3
94512600,22,600360481,2025,10,27,2,14,54,1,1,1,0,3
94512700,22,700360460,2025,10,27,2,14,54,1,1,1,0,3
94512900,22,900360417,2025,10,27,2,14,54,1,1,1,0,3
94513000,22,360396,2025,10,27,2,14,55,1,1,1,0,3
94513200,22,200360354,2025,10,27,2,14,55,1,1,1,0,3
94513300,22,300360332,2025,10,27,2,14,55,1,1,1,0,3
94513400,22,400360311,2025,10,27,2,14,55,1,1,1,0,3
94513500,22,500360290,2025,10,27,2,14,55,1,1,1,0,3
94513600,22,600360269,2025,10,27,2,14,55,1,1,1,0,3
94513700,22,700360248,2025,10,27,2,14,55,1,1,1,0,3
94513900,22,900360205,2025,10,27,2,14,55,1,1,1,0,3
94514000,22,360184,2025,10,27,2,14,56,1,1,1,0,3
94514200,22,200360142,2025,10,27,2,14,56,1,1,1,0,3
94514400,22,400360099,2025,10,27,2,14,56,1,1,1,0,3
94514500,22,500360078,2025,10,27,2,14,56,1,1,1,0,3
94514700,22,700360036,2025,10,27,2,14,56,1,1,1,0,3
94514900,22,900359993,2025,10,27,2,14,56,1,1,1,0,3
94515000,22,359972,2025,10,27,2,14,57,1,1,1,0,3
94515200,22,200359930,2025,10,27,2,14,57,1,1,1,0,3
94515300,22,300359909,2025,10,27,2,14,57,1,1,1,0,3
94515400,22,400359887,2025,10,27,2,14,57,1,1,1,0,3
94515500,22,500359866,2025,10,27,2,14,57,1,1,1,0,3
