towMS,towSubMS,qErr,week,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
94470000,0.0,0,2390,1,1,2,1,0,15,3
94472000,0.0,0,2390,1,1,2,1,0,15,3
94473000,0.0,0,2390,1,1,2,1,0,15,3
94474000,0.0,0,2390,1,1,2,1,0,15,3
94475000,0.0,0,2390,1,1,2,1,0,15,3
94476000,0.0,0,2390,1,1,2,1,0,15,3
94477000,0.0,0,2390,1,1,2,1,0,15,3
94478000,0.0,0,2390,1,1,2,1,0,15,3
94479000,0.0,0,2390,1,1,2,1,0,15,3
94480000,0.0,0,2390,1,1,2,1,0,15,3
94481000,0.0,0,2390,1,1,2,1,0,15,3
94482000,0.0,0,2390,1,1,2,1,0,15,3
94483000,0.0,0,2390,1,1,2,1,0,15,3
94484000,0.0,0,2390,1,1,2,1,0,15,3
94485000,0.0,0,2390,1,1,2,1,0,15,3
94486000,0.0,0,2390,1,1,2,1,0,15,3
94487000,0.0,0,2390,1,1,2,1,0,15,3
94488000,0.0,0,2390,1,1,2,1,0,15,3
94489000,0.0,0,2390,1,1,2,1,0,15,3
94490000,0.0,0,2390,1,1,2,1,0,15,3
94491000,0.0,0,2390,1,1,2,1,0,15,3
94492000,0.0,0,2390,1,1,2,1,0,15,3
94493000,0.0,0,2390,1,1,2,1,0,15,3
94494000,0.0,0,2390,1,1,2,1,0,15,3
94495000,0.0,0,2390,1,1,2,1,0,15,3
94496000,0.0,0,2390,1,1,2,1,0,15,3
94497000,0.0,0,2390,1,1,2,1,0,15,3
94498000,0.0,0,2390,1,1,2,1,0,15,3
94499000,0.0,0,2390,1,1,2,1,0,15,3
94500000,0.0,0,2390,1,1,2,1,0,15,3
94501000,0.0,0,2390,1,1,2,1,0,15,3
94502000,0.0,0,2390,1,1,2,1,0,15,3
94503000,0.0,0,2390,1,1,2,1,0,15,3
94504000,0.0,0,2390,1,1,2,1,0,15,3
94505000,0.0,0,2390,1,1,2,1,0,15,3
94506000,0.0,0,2390,1,1,2,1,0,15,3
94507000,0.0,0,2390,1,1,2,1,0,15,3
94508000,0.0,0,2390,1,1,2,1,0,15,3
94509000,0.0,0,2390,1,1,2,1,0,15,3
94510000,0.0,0,2390,1,1,2,1,0,15,3
94511000,0.0,0,2390,1,1,2,1,0,15,3
94512000,0.0,0,2390,1,1,2,1,0,15,3
94513000,0.0,0,2390,1,1,2,1,0,15,3
94514000,0.0,0,2390,1,1,2,1,0,15,3
94515000,0.0,0,2390,1,1,2,1,0,15,3
94516000,0.0,0,2390,1,1,2,1,0,15,3
94517000,0.0,0,2390,1,1,2,1,0,15,3
94518000,0.0,0,2390,1,1,2,1,0,15,3
94519000,0.0,0,2390,1,1,2,1,0,15,3
94520000,0.0,0,2390,1,1,2,1,0,15,3
94521000,0.0,0,2390,1,1,2,1,0,15,3
94522000,0.0,0,2390,1,1,2,1,0,15,3
94523000,0.0,0,2390,1,1,2,1,0,15,3
94524000,0.0,0,2390,1,1,2,1,0,15,3
94525000,0.0,0,2390,1,1,2,1,0,15,3
94526000,0.0,0,2390,1,1,2,1,0,15,3
94527000,0.0,0,2390,1,1,2,1,0,15,3
94528000,0.0,0,2390,1,1,2,1,0,15,3
94529000,0.0,0,2390,1,1,2,1,0,15,3
94530000,0.0,0,2390,1,1,2,1,0,15,3
94531000,0.0,0,2390,1,1,2,1,0,15,3
94532000,0.0,0,2390,1,1,2,1,0,15,3
94533000,0.0,0,2390,1,1,2,1,0,15,3
94534000,0.0,0,2390,1,1,2,1,0,15,3
94535000,0.0,0,2390,1,1,2,1,0,15,3
94536000,0.0,0,2390,1,1,2,1,0,15,3
94537000,0.0,0,2390,1,1,2,1,0,15,3
94538000,0.0,0,2390,1,1,2,1,0,15,3
94539000,0.0,0,2390,1,1,2,1,0,15,3
94540000,0.0,0,2390,1,1,2,1,0,15,3
94541000,0.0,0,2390,1,1,2,1,0,15,3
94542000,0.0,0,2390,1,1,2,1,0,15,3
94543000,0.0,0,2390,1,1,2,1,0,15,3
94544000,0.0,0,2390,1,1,2,1,0,15,3
94545000,0.0,0,2390,1,1,2,1,0,15,3
94546000,0.0,0,2390,1,1,2,1,0,15,3
94547000,0.0,0,2390,1,1,2,1,0,15,3
94548000,0.0,0,2390,1,1,2,1,0,15,3
94549000,0.0,0,2390,1,1,2,1,0,15,3
94550000,0.0,0,2390,1,1,2,1,0,15,3
94551000,0.0,0,2390,1,1,2,1,0,15,3
94552000,0.0,0,2390,1,1,2,1,0,15,3
94553000,0.0,0,2390,1,1,2,1,0,15,3
94554000,0.0,0,2390,1,1,2,1,0,15,3
94555000,0.0,0,2390,1,1,2,1,0,15,3
94556000,0.0,0,2390,1,1,2,1,0,15,3
94557000,0.0,0,2390,1,1,2,1,0,15,3
94558000,0.0,0,2390,1,1,2,1,0,15,3
94559000,0.0,0,2390,1,1,2,1,0,15,3
94560000,0.0,0,2390,1,1,2,1,0,15,3
94561000,0.0,0,2390,1,1,2,1,0,15,3
94562000,0.0,0,2390,1,1,2,1,0,15,3
94563000,0.0,0,2390,1,1,2,1,0,15,3
94564000,0.0,0,2390,1,1,2,1,0,15,3
94565000,0.0,0,2390,1,1,2,1,0,15,3
94566000,0.0,0,2390,1,1,2,1,0,15,3
94567000,0.0,0,2390,1,1,2,1,0,15,3
94568000,0.0,0,2390,1,1,2,1,0,15,3
94569000,0.0,0,2390,1,1,2,1,0,15,3
94570000,0.0,0,2390,1,1,2,1,0,15,3
94571000,0.0,0,2390,1,1,2,1,0,15,3
94572000,0.0,0,2390,1,1,2,1,0,15,3
94573000,0.0,0,2390,1,1,2,1,0,15,3
94574000,0.0,0,2390,1,1,2,1,0,15,3
94575000,0.0,0,2390,1,1,2,1,0,15,3
94576000,0.0,0,2390,1,1,2,1,0,15,3
94577000,0.0,0,2390,1,1,2,1,0,15,3
94578000,0.0,0,2390,1,1,2,1,0,15,3
94579000,0.0,0,2390,1,1,2,1,0,15,3
94580000,0.0,0,2390,1,1,2,1,0,15,3
94581000,0.0,0,2390,1,1,2,1,0,15,3
94582000,0.0,0,2390,1,1,2,1,0,15,3
94583000,0.0,0,2390,1,1,2,1,0,15,3
94584000,0.0,0,2390,1,1,2,1,0,15,3
94585000,0.0,0,2390,1,1,2,1,0,15,3
94586000,0.0,0,2390,1,1,2,1,0,15,3
94587000,0.0,0,2390,1,1,2,1,0,15,3
94588000,0.0,0,2390,1,1,2,1,0,15,3
94589000,0.0,0,2390,1,1,2,1,0,15,3
94590000,0.0,0,2390,1,1,2,1,0,15,3
94591000,0.0,0,2390,1,1,2,1,0,15,3
94599000,0.0,0,2390,1,1,2,1,0,15,3
94600000,0.0,0,2390,1,1,2,1,0,15,3
94601000,0.0,0,2390,1,1,2,1,0,15,3
94602000,0.0,0,2390,1,1,2,1,0,15,3
94603000,0.0,0,2390,1,1,2,1,0,15,3
94604000,0.0,0,2390,1,1,2,1,0,15,3
94605000,0.0,0,2390,1,1,2,1,0,15,3
94606000,0.0,0,2390,1,1,2,1,0,15,3
94607000,0.0,0,2390,1,1,2,1,0,15,3
94608000,0.0,0,2390,1,1,2,1,0,15,3
94609000,0.0,0,2390,1,1,2,1,0,15,3
94610000,0.0,0,2390,1,1,2,1,0,15,3
94611000,0.0,0,2390,1,1,2,1,0,15,3
94612000,0.0,0,2390,1,1,2,1,0,15,3
94613000,0.0,0,2390,1,1,2,1,0,15,3
94614000,0.0,0,2390,1,1,2,1,0,15,3
94615000,0.0,0,2390,1,1,2,1,0,15,3
94616000,0.0,0,2390,1,1,2,1,0,15,3
94617000,0.0,0,2390,1,1,2,1,0,15,3
94618000,0.0,0,2390,1,1,2,1,0,15,3
94619000,0.0,0,2390,1,1,2,1,0,15,3
94620000,0.0,0,2390,1,1,2,1,0,15,3
94621000,0.0,0,2390,1,1,2,1,0,15,3
94622000,0.0,0,2390,1,1,2,1,0,15,3
94623000,0.0,0,2390,1,1,2,1,0,15,3
94624000,0.0,0,2390,1,1,2,1,0,15,3
94625000,0.0,0,2390,1,1,2,1,0,15,3
94626000,0.0,0,2390,1,1,2,1,0,15,3
94627000,0.0,0,2390,1,1,2,1,0,15,3
94628000,0.0,0,2390,1,1,2,1,0,15,3
94629000,0.0,0,2390,1,1,2,1,0,15,3
94630000,0.0,0,2390,1,1,2,1,0,15,3
94631000,0.0,0,2390,1,1,2,1,0,15,3
94632000,0.0,0,2390,1,1,2,1,0,15,3
94633000,0.0,0,2390,1,1,2,1,0,15,3
94634000,0.0,0,2390,1,1,2,1,0,15,3
94635000,0.0,0,2390,1,1,2,1,0,15,3
94636000,0.0,0,2390,1,1,2,1,0,15,3
94637000,0.0,0,2390,1,1,2,1,0,15,3
94638000,0.0,0,2390,1,1,2,1,0,15,3
94639000,0.0,0,2390,1,1,2,1,0,15,3
94640000,0.0,0,2390,1,1,2,1,0,15,3
94641000,0.0,0,2390,1,1,2,1,0,15,3
94642000,0.0,0,2390,1,1,2,1,0,15,3
94643000,0.0,0,2390,1,1,2,1,0,15,3
94644000,0.0,0,2390,1,1,2,1,0,15,3
94645000,0.0,0,2390,1,1,2,1,0,15,3
94646000,0.0,0,2390,1,1,2,1,0,15,3
94647000,0.0,0,2390,1,1,2,1,0,15,3
94648000,0.0,0,2390,1,1,2,1,0,15,3
94649000,0.0,0,2390,1,1,2,1,0,15,3
94650000,0.0,0,2390,1,1,2,1,0,15,3
94651000,0.0,0,2390,1,1,2,1,0,15,3
94652000,0.0,0,2390,1,1,2,1,0,15,3
94653000,0.0,0,2390,1,1,2,1,0,15,3
94654000,0.0,0,2390,1,1,2,1,0,15,3
94655000,0.0,0,2390,1,1,2,1,0,15,3
94656000,0.0,0,2390,1,1,2,1,0,15,3
94657000,0.0,0,2390,1,1,2,1,0,15,3
94660000,0.0,0,2390,1,1,2,1,0,15,3
94661000,0.0,0,2390,1,1,2,1,0,15,3
94662000,0.0,0,2390,1,1,2,1,0,15,3
94663000,0.0,0,2390,1,1,2,1,0,15,3
94664000,0.0,0,2390,1,1,2,1,0,15,3
94665000,0.0,0,2390,1,1,2,1,0,15,3
94666000,0.0,0,2390,1,1,2,1,0,15,3
94667000,0.0,0,2390,1,1,2,1,0,15,3
94668000,0.0,0,2390,1,1,2,1,0,15,3
94669000,0.0,0,2390,1,1,2,1,0,15,3
94670000,0.0,0,2390,1,1,2,1,0,15,3
94671000,0.0,0,2390,1,1,2,1,0,15,3
94672000,0.0,0,2390,1,1,2,1,0,15,3
94673000,0.0,0,2390,1,1,2,1,0,15,3
94674000,0.0,0,2390,1,1,2,1,0,15,3
94675000,0.0,0,2390,1,1,2,1,0,15,3
94676000,0.0,0,2390,1,1,2,1,0,15,3
94677000,0.0,0,2390,1,1,2,1,0,15,3
94678000,0.0,0,2390,1,1,2,1,0,15,3
94679000,0.0,0,2390,1,1,2,1,0,15,3
94680000,0.0,0,2390,1,1,2,1,0,15,3
94681000,0.0,0,2390,1,1,2,1,0,15,3
94682000,0.0,0,2390,1,1,2,1,0,15,3
94683000,0.0,0,2390,1,1,2,1,0,15,3
94684000,0.0,0,2390,1,1,2,1,0,15,3
