version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,94487000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94487100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94487200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94487300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94487400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94487500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94487600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94487700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94487800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94487900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94488100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94488200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94488300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94488400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94488500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94488600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94488700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94488800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94488900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94489000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94489100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94489200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94489300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94489400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94489500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94489600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94489700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94489800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94489900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94490000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94490100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94490200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94490300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94490400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94490500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94490600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94490700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94490800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94490900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94491000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94491100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94491200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94491300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94491400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94491500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94491600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94491700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94491800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94491900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94492000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94492100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94492200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94492300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94492400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94492500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94492600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94492700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94492800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94492900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94493000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94493100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94493200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94493300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94493400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94493500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94493600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94493700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94493800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94493900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94494000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94494100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94494200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94494300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94494400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94494500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94494600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94494700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94494800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94494900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94495000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94495100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94495200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94495300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94495400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94495500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94495600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94495700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94495800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94495900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94496000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94496100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94496200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94496300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94496400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94496500,-241821496.8,538575616.23,240576529.73,0,1970.1
