version,nPorts,mem,alloc,outputPort,reserved0,protIds_01,protIds_02,protIds_03,protIds_04,portId_01,txPending_01,txBytes_01,txUsage_01,txPeakUsage_01,rxPending_01,rxBytes_01,rxUsage_01,rxPeakUsage_01,overrunErrs_01,msgs_01_01,msgs_01_02,msgs_01_03,msgs_01_04,reserved1_01,skipped_01,portId_02,txPending_02,txBytes_02,txUsage_02,txPeakUsage_02,rxPending_02,rxBytes_02,rxUsage_02,rxPeakUsage_02,overrunErrs_02,msgs_02_01,msgs_02_02,msgs_02_03,msgs_02_04,reserved1_02,skipped_02,portId_03,txPending_03,txBytes_03,txUsage_03,txPeakUsage_03,rxPending_03,rxBytes_03,rxUsage_03,rxPeakUsage_03,overrunErrs_03,msgs_03_01,msgs_03_02,msgs_03_03,msgs_03_04,reserved1_03,skipped_03,portId_04,txPending_04,txBytes_04,txUsage_04,txPeakUsage_04,rxPending_04,rxBytes_04,rxUsage_04,rxPeakUsage_04,overrunErrs_04,msgs_04_01,msgs_04_02,msgs_04_03,msgs_04_04,reserved1_04,skipped_04
0,4,0,0,0,0,0,1,5,6,256,0,309662,4,4,0,0,0,0,0,0,0,0,0,0,0,512,0,1280840,0,0,0,6108464,5,10,0,15656,0,0,0,0,74,768,0,3446900,22,100,0,16,0,0,0,2,0,0,0,0,0,257,1236,6095384,9,10,0,673090,4,7,0,2041,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,312518,4,4,0,0,0,0,0,0,0,0,0,0,0,512,0,1287316,0,0,0,6163495,6,10,0,15788,0,0,0,0,74,768,0,3518602,22,100,0,16,0,0,0,2,0,0,0,0,0,257,0,6151300,9,10,0,679566,4,7,0,2062,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,315374,4,4,0,0,0,0,0,0,0,0,0,0,0,512,0,1293492,0,0,0,6217993,5,10,0,15914,0,0,0,0,74,768,0,3589520,22,100,0,16,0,0,0,2,0,0,0,0,0,257,0,6205812,9,10,0,685742,4,7,0,2080,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,318230,4,4,0,0,0,0,0,0,0,0,0,0,0,512,0,1299436,0,0,0,6274610,6,10,0,16059,0,0,0,0,74,768,0,3663740,22,100,0,136,0,0,0,10,0,0,0,0,0,257,1236,6260684,9,10,0,691686,4,7,0,2097,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,321086,4,4,0,0,0,0,0,0,0,0,0,0,0,512,0,1305480,0,0,0,6328619,9,10,0,16185,0,0,0,0,74,768,0,3734860,22,100,0,184,0,0,0,13,0,0,0,0,0,257,0,6316432,9,10,0,697730,6,7,0,2115,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,323942,4,4,0,0,0,0,0,0,0,0,0,0,0,512,0,1311856,0,0,0,6383719,14,14,0,16318,0,0,0,0,74,768,0,3807572,22,100,0,296,0,0,0,20,0,0,0,0,0,257,0,6371532,9,10,0,704106,5,7,0,2135,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,326798,4,4,0,0,0,0,0,0,0,0,0,0,0,512,0,1318032,0,0,0,6438228,6,14,0,16444,0,0,0,0,74,768,0,3880295,22,100,0,408,0,0,0,27,0,0,0,0,0,257,1236,6425144,9,10,0,710282,3,7,0,2153,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,329654,4,4,0,0,0,0,0,0,0,0,0,0,0,512,0,1324428,0,0,0,6493570,5,14,0,16577,0,0,0,0,74,768,0,3951013,22,100,0,408,0,0,0,27,0,0,0,0,0,257,0,6481144,9,10,0,716678,6,7,0,2173,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,332510,4,4,0,0,0,0,0,0,0,0,0,0,0,512,0,1330372,0,0,0,6547841,8,14,0,16703,0,0,0,0,74,768,0,4021063,22,100,0,408,0,0,0,27,0,0,0,0,0,257,0,6535656,9,10,0,722622,4,7,0,2190,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,335366,4,4,0,0,0,0,0,0,0,0,0,0,0,512,0,1336404,0,0,0,6603706,7,14,0,16840,0,0,0,0,74,768,0,4092737,22,100,0,408,0,0,0,27,0,0,0,0,0,257,1236,6589856,9,10,0,728654,6,7,0,2207,0,0,0,0,0
