version,reserved1,iTOW,dur,meanX,meanY,meanZ,meanXHP,meanYHP,meanZHP,reserved2,meanAcc,obs,valid,active,reserved3
0,0,94486900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94487000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94487100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94487200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94487300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94487500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94487600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94487700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94487800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94488100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94488200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94488300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94488400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94488500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94488600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94488700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94488800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94488900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94489000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94489100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94489200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94489300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94489400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94489500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94489600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94489700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94489800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94489900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94490000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94490100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94490200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94490300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94490400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94490500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94490600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94490700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94490800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94490900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94491000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94491100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94491200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94491300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94491400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94491500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94491600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94491700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94491800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94491900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94492000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94492100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94492200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94492300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94492400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94492500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94492600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94492700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94492800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94492900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94493000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94493100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94493200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94493300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94493400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94493500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94493600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94493700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94493800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94493900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94494000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94494100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94494200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94494300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94494400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94494500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94494600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94494700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94494800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94494900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94495000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94495100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94495200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94495300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94495400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94495500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94495600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94495700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94495800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94495900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94496000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94496100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94496200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94496300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94496400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94496500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94496600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94496700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94496800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94496900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94497000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94497100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94497200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94497300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94497400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94497500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94497600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94497700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94497800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94497900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94498000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94498100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94498200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94498300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94498400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94498500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94498600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94498700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94498800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94498900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94499000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94499100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94499200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94499300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94499400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94499500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94499600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94499700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94499800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94499900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94500000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94500100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94500200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94500300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94500400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94500500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94500600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94500700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94500800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94500900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94501000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94501100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94501200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94501300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94501400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94501500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94501600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94501700,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94501800,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94501900,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94502000,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94502100,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94502200,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94502300,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94502400,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94502500,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
0,0,94502600,1866,-241821497,538575616,240576530,20,23,-27,0,19701,6497,1,0,0
