ofsI,magI,ofsQ,magQ,cfgSource,reserved0,lowLevCfg,reserved1,postStatus,reserved2
14,163,8,168,0,13002609,4294967295,18446744073709551615,0,0
8,171,8,173,0,3845377,4294967295,18446744073709551615,0,0
13,168,3,163,0,15754904,4294967295,18446744073709551615,0,0
11,161,7,172,0,16645599,4294967295,18446744073709551615,0,0
13,159,1,155,0,14311307,4294967295,18446744073709551615,0,0
8,168,6,159,0,3777961,4294967295,18446744073709551615,0,0
12,160,6,159,0,10621275,4294967295,18446744073709551615,0,0
16,157,0,153,0,13824497,4294967295,18446744073709551615,0,0
14,161,2,152,0,8839298,4294967295,18446744073709551615,0,0
16,158,3,147,0,7706939,4294967295,18446744073709551615,0,0
13,165,3,161,0,9253726,4294967295,18446744073709551615,0,0
13,159,7,155,0,985790,4294967295,18446744073709551615,0,0
10,161,6,158,0,14809239,4294967295,18446744073709551615,0,0
17,162,0,150,0,11651281,4294967295,18446744073709551615,0,0
9,160,9,160,0,2593286,4294967295,18446744073709551615,0,0
16,159,2,160,0,15323892,4294967295,18446744073709551615,0,0
14,163,2,158,0,13625635,4294967295,18446744073709551615,0,0
14,156,0,155,0,2038194,4294967295,18446744073709551615,0,0
15,156,0,157,0,1622093,4294967295,18446744073709551615,0,0
11,158,1,149,0,4769416,4294967295,18446744073709551615,0,0
10,159,3,162,0,13474141,4294967295,18446744073709551615,0,0
16,157,0,154,0,7012775,4294967295,18446744073709551615,0,0
10,160,1,166,0,15013319,4294967295,18446744073709551615,0,0
13,161,1,161,0,13465750,4294967295,18446744073709551615,0,0
10,163,1,161,0,11368663,4294967295,18446744073709551615,0,0
15,159,2,151,0,13781899,4294967295,18446744073709551615,0,0
10,163,5,164,0,11786222,4294967295,18446744073709551615,0,0
11,162,5,153,0,16241808,4294967295,18446744073709551615,0,0
14,167,-1,162,0,11868801,4294967295,18446744073709551615,0,0
14,164,3,163,0,9312220,4294967295,18446744073709551615,0,0
14,162,4,155,0,12075010,4294967295,18446744073709551615,0,0
11,162,-1,153,0,6831105,4294967295,18446744073709551615,0,0
15,159,3,162,0,4717345,4294967295,18446744073709551615,0,0
13,164,5,164,0,8724356,4294967295,18446744073709551615,0,0
15,160,0,151,0,5299970,4294967295,18446744073709551615,0,0
15,160,7,155,0,6864364,4294967295,18446744073709551615,0,0
13,161,5,161,0,16482102,4294967295,18446744073709551615,0,0
13,159,1,157,0,16105826,4294967295,18446744073709551615,0,0
9,162,6,155,0,719245,4294967295,18446744073709551615,0,0
14,162,3,160,0,5863473,4294967295,18446744073709551615,0,0
14,165,5,154,0,9414178,4294967295,18446744073709551615,0,0
13,165,3,163,0,2626651,4294967295,18446744073709551615,0,0
13,166,1,164,0,13231867,4294967295,18446744073709551615,0,0
15,163,4,154,0,9338068,4294967295,18446744073709551615,0,0
12,167,9,168,0,1503999,4294967295,18446744073709551615,0,0
13,165,7,167,0,14100198,4294967295,18446744073709551615,0,0
13,166,4,161,0,4036341,4294967295,18446744073709551615,0,0
15,164,5,161,0,12025215,4294967295,18446744073709551615,0,0
14,164,1,159,0,14468122,4294967295,18446744073709551615,0,0
13,163,5,153,0,12457247,4294967295,18446744073709551615,0,0
11,166,5,163,0,15547219,4294967295,18446744073709551615,0,0
14,166,5,168,0,13741513,4294967295,18446744073709551615,0,0
10,170,3,161,0,13545060,4294967295,18446744073709551615,0,0
8,182,4,179,0,4472277,4294967295,18446744073709551615,0,0
16,174,5,175,0,9113205,4294967295,18446744073709551615,0,0
10,167,3,157,0,2149330,4294967295,18446744073709551615,0,0
15,152,4,160,0,6122219,4294967295,18446744073709551615,0,0
8,182,5,176,0,11442256,4294967295,18446744073709551615,0,0
10,141,6,133,0,6031416,4294967295,18446744073709551615,0,0
14,134,14,127,0,194444,4294967295,18446744073709551615,0,0
13,162,2,164,0,4407003,4294967295,18446744073709551615,0,0
14,162,0,158,0,3178815,4294967295,18446744073709551615,0,0
15,160,5,161,0,6560231,4294967295,18446744073709551615,0,0
12,173,3,164,0,4790039,4294967295,18446744073709551615,0,0
11,174,2,166,0,4744121,4294967295,18446744073709551615,0,0
12,171,4,163,0,12959533,4294967295,18446744073709551615,0,0
9,174,2,160,0,5404436,4294967295,18446744073709551615,0,0
15,161,12,154,0,16387625,4294967295,18446744073709551615,0,0
14,159,3,153,0,4678480,4294967295,18446744073709551615,0,0
16,164,3,152,0,10066338,4294967295,18446744073709551615,0,0
12,158,7,159,0,4992665,4294967295,18446744073709551615,0,0
15,157,1,157,0,12194866,4294967295,18446744073709551615,0,0
15,160,4,156,0,6679833,4294967295,18446744073709551615,0,0
14,159,6,159,0,5460253,4294967295,18446744073709551615,0,0
12,160,8,150,0,16727454,4294967295,18446744073709551615,0,0
15,162,3,159,0,12562368,4294967295,18446744073709551615,0,0
10,167,2,163,0,15114055,4294967295,18446744073709551615,0,0
13,162,6,164,0,13153653,4294967295,18446744073709551615,0,0
12,159,6,149,0,16250328,4294967295,18446744073709551615,0,0
13,162,1,159,0,12792964,4294967295,18446744073709551615,0,0
13,158,2,159,0,7603568,4294967295,18446744073709551615,0,0
11,170,2,167,0,8100412,4294967295,18446744073709551615,0,0
16,158,0,151,0,11169435,4294967295,18446744073709551615,0,0
11,159,3,164,0,14873260,4294967295,18446744073709551615,0,0
16,160,7,149,0,15725408,4294967295,18446744073709551615,0,0
13,154,-2,149,0,4012305,4294967295,18446744073709551615,0,0
10,162,0,154,0,771476,4294967295,18446744073709551615,0,0
12,158,3,164,0,10316526,4294967295,18446744073709551615,0,0
10,154,12,148,0,5511875,4294967295,18446744073709551615,0,0
10,153,6,154,0,2279373,4294967295,18446744073709551615,0,0
11,149,15,145,0,6984631,4294967295,18446744073709551615,0,0
15,150,6,148,0,6590768,4294967295,18446744073709551615,0,0
