iTOW,velN,velE,velD,speed,gSpeed,heading,sAcc,cAcc
94499700,0,0,0,0,0,0.0,1,57.29578
94499800,0,0,0,0,0,0.0,1,57.29578
94499900,0,0,0,0,0,0.0,1,57.29578
94500000,0,0,0,0,0,0.0,1,57.29578
94500100,0,0,0,0,0,0.0,1,57.29578
94500200,0,0,0,0,0,0.0,1,57.29578
94500300,0,0,0,0,0,0.0,1,57.29578
94500400,0,0,0,0,0,0.0,1,57.29578
94500500,0,0,0,0,0,0.0,1,57.29578
94500600,0,0,0,0,0,0.0,1,57.29578
94500700,0,0,0,0,0,0.0,1,57.29578
94500800,0,0,0,0,0,0.0,1,57.29578
94500900,0,0,0,0,0,0.0,1,57.29578
94501000,0,0,0,0,0,0.0,1,57.29578
94501100,0,0,0,0,0,0.0,1,57.29578
94501200,0,0,0,0,0,0.0,1,57.29578
94501300,0,0,0,0,0,0.0,1,57.29578
94501400,0,0,0,0,0,0.0,1,57.29578
94501500,0,0,0,0,0,0.0,1,57.29578
94501600,0,0,0,0,0,0.0,1,57.29578
94501700,0,0,0,0,0,0.0,1,57.29578
94501800,0,0,0,0,0,0.0,1,57.29578
94501900,0,0,0,0,0,0.0,1,57.29578
94502000,0,0,0,0,0,0.0,1,57.29578
94502100,0,0,0,0,0,0.0,1,57.29578
94502200,0,0,0,0,0,0.0,1,57.29578
94502300,0,0,0,0,0,0.0,1,57.29578
94502400,0,0,0,0,0,0.0,1,57.29578
94502500,0,0,0,0,0,0.0,1,57.29578
94502600,0,0,0,0,0,0.0,1,57.29578
94502700,0,0,0,0,0,0.0,1,57.29578
94502800,0,0,0,0,0,0.0,1,57.29578
94502900,0,0,0,0,0,0.0,1,57.29578
94503000,0,0,0,0,0,0.0,1,57.29578
94503100,0,0,0,0,0,0.0,1,57.29578
94503200,0,0,0,0,0,0.0,1,57.29578
94503300,0,0,0,0,0,0.0,1,57.29578
94503400,0,0,0,0,0,0.0,1,57.29578
94503500,0,0,0,0,0,0.0,1,57.29578
94503600,0,0,0,0,0,0.0,1,57.29578
94503700,0,0,0,0,0,0.0,1,57.29578
94503800,0,0,0,0,0,0.0,1,57.29578
94503900,0,0,0,0,0,0.0,1,57.29578
94504000,0,0,0,0,0,0.0,1,57.29578
94504100,0,0,0,0,0,0.0,1,57.29578
94504200,0,0,0,0,0,0.0,1,57.29578
94504300,0,0,0,0,0,0.0,1,57.29578
94504400,0,0,0,0,0,0.0,1,57.29578
94504500,0,0,0,0,0,0.0,1,57.29578
94504600,0,0,0,0,0,0.0,1,57.29578
94504700,0,0,0,0,0,0.0,1,57.29578
94504800,0,0,0,0,0,0.0,1,57.29578
94504900,0,0,0,0,0,0.0,1,57.29578
94505000,0,0,0,0,0,0.0,1,57.29578
94505100,0,0,0,0,0,0.0,1,57.29578
94505200,0,0,0,0,0,0.0,1,57.29578
94505300,0,0,0,0,0,0.0,1,57.29578
94505400,0,0,0,0,0,0.0,1,57.29578
94505500,0,0,0,0,0,0.0,1,57.29578
94505600,0,0,0,0,0,0.0,1,57.29578
94505700,0,0,0,0,0,0.0,1,57.29578
94505800,0,0,0,0,0,0.0,1,57.29578
94505900,0,0,0,0,0,0.0,1,57.29578
94506000,0,0,0,0,0,0.0,1,57.29578
94506200,0,0,0,0,0,0.0,1,57.29578
94506400,0,0,0,0,0,0.0,1,57.29578
94506500,0,0,0,0,0,0.0,1,57.29578
94506600,0,0,0,0,0,0.0,1,57.29578
94506700,0,0,0,0,0,0.0,1,57.29578
94506800,0,0,0,0,0,0.0,1,57.29578
94506900,0,0,0,0,0,0.0,1,57.29578
94507000,0,0,0,0,0,0.0,1,57.29578
94507100,0,0,0,0,0,0.0,1,57.29578
94507200,0,0,0,0,0,0.0,1,57.29578
94507400,0,0,0,0,0,0.0,1,57.29578
94507600,0,0,0,0,0,0.0,1,57.29578
94507700,0,0,0,0,0,0.0,1,57.29578
94507800,0,0,0,0,0,0.0,1,57.29578
94507900,0,0,0,0,0,0.0,1,57.29578
94508000,0,0,0,0,0,0.0,1,57.29578
94508100,0,0,0,0,0,0.0,1,57.29578
94508200,0,0,0,0,0,0.0,1,57.29578
94508300,0,0,0,0,0,0.0,1,57.29578
94508400,0,0,0,0,0,0.0,1,57.29578
94508500,0,0,0,0,0,0.0,1,57.29578
94508600,0,0,0,0,0,0.0,1,57.29578
94508700,0,0,0,0,0,0.0,1,57.29578
94508800,0,0,0,0,0,0.0,1,57.29578
94508900,0,0,0,0,0,0.0,1,57.29578
94509000,0,0,0,0,0,0.0,1,57.29578
94509200,0,0,0,0,0,0.0,1,57.29578
94509400,0,0,0,0,0,0.0,1,57.29578
94509600,0,0,0,0,0,0.0,1,57.29578
94509700,0,0,0,0,0,0.0,1,57.29578
94509900,0,0,0,0,0,0.0,1,57.29578
94510100,0,0,0,0,0,0.0,1,57.29578
94510300,0,0,0,0,0,0.0,1,57.29578
94510400,0,0,0,0,0,0.0,1,57.29578
94510500,0,0,0,0,0,0.0,1,57.29578
94510600,0,0,0,0,0,0.0,1,57.29578
94510700,0,0,0,0,0,0.0,1,57.29578
94510800,0,0,0,0,0,0.0,1,57.29578
94510900,0,0,0,0,0,0.0,1,57.29578
94511000,0,0,0,0,0,0.0,1,57.29578
94511100,0,0,0,0,0,0.0,1,57.29578
94511200,0,0,0,0,0,0.0,1,57.29578
94511300,0,0,0,0,0,0.0,1,57.29578
94511400,0,0,0,0,0,0.0,1,57.29578
94511500,0,0,0,0,0,0.0,1,57.29578
94511600,0,0,0,0,0,0.0,1,57.29578
94511700,0,0,0,0,0,0.0,1,57.29578
94511900,0,0,0,0,0,0.0,1,57.29578
94512000,0,0,0,0,0,0.0,1,57.29578
94512200,0,0,0,0,0,0.0,1,57.29578
94512300,0,0,0,0,0,0.0,1,57.29578
94512400,0,0,0,0,0,0.0,1,57.29578
94512600,0,0,0,0,0,0.0,1,57.29578
94512700,0,0,0,0,0,0.0,1,57.29578
94512900,0,0,0,0,0,0.0,1,57.29578
94513000,0,0,0,0,0,0.0,1,57.29578
94513200,0,0,0,0,0,0.0,1,57.29578
94513300,0,0,0,0,0,0.0,1,57.29578
94513400,0,0,0,0,0,0.0,1,57.29578
94513500,0,0,0,0,0,0.0,1,57.29578
94513600,0,0,0,0,0,0.0,1,57.29578
94513700,0,0,0,0,0,0.0,1,57.29578
94513900,0,0,0,0,0,0.0,1,57.29578
94514000,0,0,0,0,0,0.0,1,57.29578
94514200,0,0,0,0,0,0.0,1,57.29578
94514400,0,0,0,0,0,0.0,1,57.29578
94514500,0,0,0,0,0,0.0,1,57.29578
94514700,0,0,0,0,0,0.0,1,57.29578
94514900,0,0,0,0,0,0.0,1,57.29578
94515000,0,0,0,0,0,0.0,1,57.29578
94515200,0,0,0,0,0,0.0,1,57.29578
94515300,0,0,0,0,0,0.0,1,57.29578
94515400,0,0,0,0,0,0.0,1,57.29578
94515500,0,0,0,0,0,0.0,1,57.29578
94515700,0,0,0,0,0,0.0,1,57.29578
94515900,0,0,0,0,0,0.0,1,57.29578
94516000,0,0,0,0,0,0.0,1,57.29578
94516200,0,0,0,0,0,0.0,1,57.29578
94516400,0,0,0,0,0,0.0,1,57.29578
94516500,0,0,0,0,0,0.0,1,57.29578
94516600,0,0,0,0,0,0.0,1,57.29578
94516700,0,0,0,0,0,0.0,1,57.29578
94516800,0,0,0,0,0,0.0,1,57.29578
94516900,0,0,0,0,0,0.0,1,57.29578
94517100,0,0,0,0,0,0.0,1,57.29578
94517300,0,0,0,0,0,0.0,1,57.29578
94517400,0,0,0,0,0,0.0,1,57.29578
94517500,0,0,0,0,0,0.0,1,57.29578
94517600,0,0,0,0,0,0.0,1,57.29578
94517700,0,0,0,0,0,0.0,1,57.29578
94517800,0,0,0,0,0,0.0,1,57.29578
94518000,0,0,0,0,0,0.0,1,57.29578
94518200,0,0,0,0,0,0.0,1,57.29578
94518300,0,0,0,0,0,0.0,1,57.29578
94518400,0,0,0,0,0,0.0,1,57.29578
94518500,0,0,0,0,0,0.0,1,57.29578
94518600,0,0,0,0,0,0.0,1,57.29578
94518700,0,0,0,0,0,0.0,1,57.29578
94518800,0,0,0,0,0,0.0,1,57.29578
94518900,0,0,0,0,0,0.0,1,57.29578
