version,reserved0,invalidLlh,iTOW,lon,lat,height,hMSL,hAcc,vAcc
0,0,0,108574900,114.18113794,22.300963961,16570.6,18174.4,335.9,604.7
0,0,0,108575000,114.181138882,22.300963563,16561.4,18165.3,335.5,603.9
0,0,0,108575200,114.181140516,22.300962859,16554.6,18158.5,335.4,603.7
0,0,0,108575300,114.181141942,22.300962399,16567.5,18171.3,335.0,602.9
0,0,0,108575400,114.181143173,22.300961686,16585.8,18189.7,334.6,602.1
0,0,0,108575500,114.181144062,22.300961119,16589.3,18193.1,334.1,601.4
0,0,0,108575600,114.181145129,22.300960491,16564.5,18168.2,333.7,600.7
0,0,0,108575700,114.181146065,22.300959848,16554.3,18158.1,333.3,600.0
0,0,0,108575800,114.18114712,22.300959071,16567.2,18170.9,332.9,599.2
0,0,0,108575900,114.181147899,22.300958625,16595.0,18198.8,332.5,598.5
0,0,0,108576000,114.181148903,22.300958167,16621.2,18225.0,332.1,597.7
0,0,0,108576200,114.181150619,22.300957344,16609.4,18213.1,331.9,597.4
0,0,0,108576400,114.18115249,22.300956292,16622.0,18225.7,331.8,597.0
0,0,0,108576500,114.181153539,22.300955656,16646.1,18249.8,331.3,596.2
0,0,0,108576700,114.181155151,22.300954566,16604.0,18207.7,331.2,595.9
0,0,0,108576800,114.181156259,22.300953793,16576.9,18180.6,330.8,595.1
0,0,0,108577000,114.181157941,22.300952939,16595.0,18198.7,330.6,594.7
0,0,0,108577200,114.181159583,22.300952222,16601.3,18205.0,330.5,594.4
0,0,0,108577300,114.181160444,22.300951954,16566.6,18170.3,330.1,593.6
0,0,0,108577500,114.181162637,22.300951101,16590.5,18194.2,329.9,593.2
0,0,0,108577600,114.18116361,22.300950568,16598.0,18201.7,329.5,592.4
0,0,0,108577700,114.181164772,22.300949992,16594.3,18198.0,329.0,591.5
0,0,0,108577900,114.181166727,22.300948825,16571.8,18175.5,328.9,591.2
0,0,0,108578100,114.181168637,22.300948049,16595.7,18199.4,328.8,590.8
0,0,0,108578300,114.181170529,22.300947366,16564.2,18167.9,328.7,590.5
0,0,0,108578500,114.181172753,22.300946681,16550.6,18154.3,328.6,590.1
0,0,0,108578600,114.181174013,22.300946202,16577.1,18180.8,328.1,589.2
0,0,0,108578800,114.181175891,22.300945221,16563.5,18167.2,328.0,588.9
0,0,0,108579000,114.18117769,22.300943968,16543.5,18147.2,327.9,588.5
0,0,0,108579200,114.18117972,22.300942241,16517.8,18121.5,327.8,588.2
0,0,0,108579400,114.181181275,22.30094128,16515.4,18119.0,327.7,587.8
0,0,0,108579500,114.181182207,22.300940906,16488.8,18092.4,327.2,586.9
0,0,0,108579600,114.181183351,22.300940198,16483.7,18087.4,326.8,586.0
0,0,0,108579700,114.181184583,22.300939475,16446.0,18049.6,326.3,585.1
0,0,0,108579800,114.181185889,22.300939118,16479.3,18083.0,325.8,584.2
