iTOW,version,posCovValid,velCovValid,reserved0,posCovNN,posCovNE,posCovND,posCovEE,posCovED,posCovDD,velCovNN,velCovNE,velCovND,velCovEE,velCovED,velCovDD
569587000,0,1,1,1171368248954360692736,0.6054083108901978,-0.05058713257312775,0.0374186635017395,0.6828521490097046,-0.2482748031616211,3.7898507118225098,0.004624389577656984,-0.00149441696703434,-0.001502667786553502,0.00804489478468895,0.00016750372014939785,0.02262761816382408
569588000,0,1,1,1171368248954360692736,0.5449836254119873,-0.04307158291339874,0.01095498539507389,0.6121885776519775,-0.18408283591270447,3.4343018531799316,0.0046896920539438725,-0.0010908687254413962,-0.0011433176696300507,0.007273781578987837,0.0008208018261939287,0.022030876949429512
569589000,0,1,1,1171368248954360692736,0.4881795048713684,-0.03975256159901619,-0.004731237888336182,0.5527945160865784,-0.13672107458114624,3.1350831985473633,0.004633833654224873,-0.0010337609564885497,-0.0008088937611319125,0.006890739779919386,0.0013707387261092663,0.02274024300277233
569590000,0,1,1,1171368248954360692736,0.44119250774383545,-0.037318743765354156,-0.014234921894967556,0.5051658153533936,-0.10276457667350769,2.886915683746338,0.004396805539727211,-0.0009665208635851741,-0.0009741258108988404,0.006388301961123943,0.0010964099783450365,0.02091817744076252
569591000,0,1,1,1171368248954360692736,0.40003064274787903,-0.036068372428417206,-0.018572278320789337,0.4659554958343506,-0.07625076174736023,2.677855968475342,0.0043480293825268745,-0.0009285523556172848,-0.0008023828850127757,0.00626542791724205,0.0011449344456195831,0.020836006850004196
569592000,0,1,1,1171368248954360692736,0.36441558599472046,-0.03376191109418869,-0.020165596157312393,0.4332849979400635,-0.054453279823064804,2.496861457824707,0.004157119896262884,-0.0008772530127316713,-0.0004442182835191488,0.00661487365141511,0.0005286275409162045,0.02127002365887165
569593000,0,1,1,1171368248954360692736,0.33390548825263977,-0.035020411014556885,-0.013443603180348873,0.4119265675544739,-0.040440090000629425,2.3490655422210693,0.004035187419503927,-0.001339463284239173,-0.00033344095572829247,0.007553631439805031,0.0017482154071331024,0.02200053259730339
569594000,0,1,1,1171368248954360692736,0.3080264925956726,-0.03450508788228035,-0.0021717287600040436,0.39936941862106323,-0.021052300930023193,2.228205680847168,0.0037497407756745815,-0.001149862539023161,-0.00020917074289172888,0.009065317921340466,0.002514013322070241,0.021400487050414085
569595000,0,1,1,1171368248954360692736,0.2856524586677551,-0.034038182348012924,0.00574132427573204,0.3851710259914398,0.0005437843501567841,2.1126017570495605,0.0031947302632033825,-0.0010706692701205611,-0.0005955870728939772,0.0076400465331971645,0.0017807180993258953,0.017525337636470795
569596000,0,1,1,1171368248954360692736,0.26497820019721985,-0.03434700518846512,0.015891678631305695,0.3713517189025879,0.01758011430501938,2.010157346725464,0.003256013384088874,-0.0006976614822633564,0.0008797690970823169,0.007234003394842148,0.001553462352603674,0.016966668888926506
569597000,0,1,1,1171368248954360692736,0.24737271666526794,-0.03391676023602486,0.024299602955579758,0.3585544228553772,0.03471491485834122,1.919381856918335,0.0036023533903062344,-0.0009656549664214253,0.0012730296002700925,0.007723647635430098,0.0020370911806821823,0.02000277303159237
569598000,0,1,1,1171368248954360692736,0.23353570699691772,-0.033818554133176804,0.029756080359220505,0.34766659140586853,0.048957712948322296,1.8481571674346924,0.003651893697679043,-0.0012791441986337304,0.00012887263437733054,0.0069532571360468864,0.002262429567053914,0.022385872900485992
569599000,0,1,1,1171368248954360692736,0.22170108556747437,-0.03378830850124359,0.033644236624240875,0.3380303978919983,0.06002086400985718,1.7868343591690063,0.0034636240452528,-0.0007850409019738436,-0.00016500928904861212,0.006263453047722578,0.0024239199701696634,0.01940297521650791
569600000,0,1,1,1171368248954360692736,0.21097490191459656,-0.03263125941157341,0.035598501563072205,0.3276444673538208,0.07229436933994293,1.725343942642212,0.0035761327017098665,-0.0005778929335065186,0.00032477345666848123,0.005632615648210049,0.002679659752175212,0.019554875791072845
569601000,0,1,1,1171368248954360692736,0.19913698732852936,-0.029523655772209167,0.03946377709507942,0.31453266739845276,0.07613085210323334,1.655389666557312,0.0033715488389134407,-0.000498252862598747,0.0002886480069719255,0.005734094884246588,0.002177947899326682,0.019641239196062088
569602000,0,1,1,1171368248954360692736,0.18997277319431305,-0.027763668447732925,0.040100615471601486,0.30241858959198,0.07952389121055603,1.5999888181686401,0.0035750833339989185,-0.0007699630805291235,-0.00038871983997523785,0.006382999941706657,0.0022519463673233986,0.020365286618471146
569603000,0,1,1,1171368248954360692736,0.18131977319717407,-0.02568649873137474,0.041724566370248795,0.2928621172904968,0.0823431983590126,1.5465428829193115,0.0034664657432585955,-0.0005487795569933951,0.0001307724160142243,0.005909598432481289,0.0022656621877104044,0.020991429686546326
569604000,0,1,1,1171368248954360692736,0.17549407482147217,-0.024934077635407448,0.042094554752111435,0.2858436107635498,0.08443478494882584,1.515239953994751,0.004216122440993786,-0.0008763882797211409,-0.0006947473739273846,0.006610224489122629,0.0031588657293468714,0.025105822831392288
569605000,0,1,1,1171368248954360692736,0.1698710024356842,-0.023827118799090385,0.04091678187251091,0.27758389711380005,0.08710648119449615,1.4827477931976318,0.003653555177152157,-0.0006455148104578257,-0.000674079405143857,0.005694265943020582,0.002450114581733942,0.024252738803625107
569606000,0,1,1,1171368248954360692736,0.16360324621200562,-0.022425362840294838,0.04034852981567383,0.26874274015426636,0.08775782585144043,1.4442052841186523,0.0028182207606732845,-0.0008124550222419202,-0.0006881423760205507,0.004767426755279303,0.0016689086332917213,0.01875457912683487
569607000,0,1,1,1171368248954360692736,0.15693965554237366,-0.022971589118242264,0.038258180022239685,0.26201075315475464,0.08852909505367279,1.4107251167297363,0.003125831950455904,-0.0013179283123463392,-0.0012605960946530104,0.006416779477149248,0.0019391863606870174,0.022048916667699814
569608000,0,1,1,1171368248954360692736,0.15044008195400238,-0.02245516888797283,0.03677142411470413,0.254408597946167,0.08865584433078766,1.3772368431091309,0.0025589975994080305,-0.0005351351574063301,-0.0008031129254959524,0.004884965252131224,0.0015285331755876541,0.020426010712981224
569609000,0,1,1,1171368248954360692736,0.14392226934432983,-0.021084483712911606,0.03599720448255539,0.24603746831417084,0.08848069608211517,1.3434512615203857,0.0022310845088213682,-0.0002517271786928177,-0.0004011146957054734,0.004998810589313507,0.0014330558478832245,0.01894443854689598
569610000,0,1,1,1171368248954360692736,0.1384737491607666,-0.019381413236260414,0.035451337695121765,0.23673798143863678,0.0881742313504219,1.316039800643921,0.002921723760664463,-3.767490852624178e-06,-0.0003914285043720156,0.00446909898892045,0.0022480192128568888,0.022990984842181206
569611000,0,1,1,1171368248954360692736,0.13420113921165466,-0.01783624291419983,0.03491993620991707,0.22803208231925964,0.08720266073942184,1.291346549987793,0.0025136570911854506,-0.00017403635138180107,-0.0006374018266797066,0.004492839332669973,0.001413603313267231,0.01971626840531826
569612000,0,1,1,1171368248954360692736,0.13037516176700592,-0.016552342101931572,0.03408112749457359,0.2200523018836975,0.08589881658554077,1.2691680192947388,0.0026597394607961178,-0.0002768770791590214,-0.0007551925373263657,0.004569218493998051,0.0012744326377287507,0.0202224999666214
