version,nPorts,mem,alloc,outputPort,reserved0,protIds_01,protIds_02,protIds_03,protIds_04,portId_01,txPending_01,txBytes_01,txUsage_01,txPeakUsage_01,rxPending_01,rxBytes_01,rxUsage_01,rxPeakUsage_01,overrunErrs_01,msgs_01_01,msgs_01_02,msgs_01_03,msgs_01_04,reserved1_01,skipped_01,portId_02,txPending_02,txBytes_02,txUsage_02,txPeakUsage_02,rxPending_02,rxBytes_02,rxUsage_02,rxPeakUsage_02,overrunErrs_02,msgs_02_01,msgs_02_02,msgs_02_03,msgs_02_04,reserved1_02,skipped_02,portId_03,txPending_03,txBytes_03,txUsage_03,txPeakUsage_03,rxPending_03,rxBytes_03,rxUsage_03,rxPeakUsage_03,overrunErrs_03,msgs_03_01,msgs_03_02,msgs_03_03,msgs_03_04,reserved1_03,skipped_03,portId_04,txPending_04,txBytes_04,txUsage_04,txPeakUsage_04,rxPending_04,rxBytes_04,rxUsage_04,rxPeakUsage_04,overrunErrs_04,msgs_04_01,msgs_04_02,msgs_04_03,msgs_04_04,reserved1_04,skipped_04
0,4,0,0,0,0,0,1,5,6,256,0,92384,13,14,0,0,0,0,0,0,0,0,0,0,0,512,0,991202,0,0,0,591062,4,5,0,3530,0,0,0,0,124,768,0,270298,15,55,0,0,0,0,0,0,0,0,0,0,0,257,0,578792,9,10,0,383422,4,5,0,1185,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,94116,13,14,0,0,0,0,0,0,0,0,0,0,0,512,0,997378,0,0,0,597596,4,5,0,3557,0,0,0,0,124,768,0,278084,15,55,0,0,0,0,0,0,0,0,0,0,0,257,0,585316,9,10,0,389598,4,5,0,1203,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,95846,13,14,0,0,0,0,0,0,0,0,0,0,0,512,0,1003178,0,0,0,604964,4,5,0,3593,0,0,0,0,124,768,0,286394,15,55,0,0,0,0,0,0,0,0,0,0,0,257,0,592596,9,10,0,395398,5,5,0,1219,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,97578,13,14,0,0,0,0,0,0,0,0,0,0,0,512,0,1009354,0,0,0,611355,5,5,0,3620,0,0,0,0,124,768,0,294092,15,55,0,0,0,0,0,0,0,0,0,0,0,257,0,599120,9,10,0,401574,5,5,0,1237,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,99297,13,14,0,0,0,0,0,0,0,0,0,0,0,512,0,1015530,0,0,0,619095,4,5,0,3661,0,0,0,0,124,768,0,302886,15,55,0,0,0,0,0,0,0,0,0,0,0,257,0,606820,9,10,0,407750,4,5,0,1255,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,101029,13,14,0,0,0,0,0,0,0,0,0,0,0,512,0,1021706,0,0,0,625696,4,5,0,3688,0,0,0,0,124,768,0,310710,15,55,0,0,0,0,0,0,0,0,0,0,0,257,0,613344,9,10,0,413926,4,5,0,1273,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,102763,13,14,0,0,0,0,0,0,0,0,0,0,0,512,0,1027506,0,0,0,632907,4,5,0,3723,0,0,0,0,124,768,0,318786,15,55,0,0,0,0,0,0,0,0,0,0,0,257,0,620540,9,10,0,419726,4,5,0,1289,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,104520,14,14,0,0,0,0,0,0,0,0,0,0,0,512,0,1033782,0,0,0,639406,4,5,0,3750,0,0,0,0,124,768,0,326770,15,55,0,0,0,0,0,0,0,0,0,0,0,257,0,627064,9,10,0,426002,4,5,0,1308,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,106269,14,14,0,0,0,0,0,0,0,0,0,0,0,512,0,1039582,0,0,0,646700,4,5,0,3786,0,0,0,0,124,768,0,335414,15,55,0,0,0,0,0,0,0,0,0,0,0,257,0,634344,9,10,0,431802,4,5,0,1324,0,0,0,0,0
0,4,0,0,0,0,0,1,5,6,256,0,107990,13,14,0,0,0,0,0,0,0,0,0,0,0,512,0,1045758,0,0,0,653555,4,5,0,3813,0,0,0,0,124,768,0,343286,15,55,0,0,0,0,0,0,0,0,0,0,0,257,0,640868,9,10,0,437978,5,5,0,1342,0,0,0,0,0
