version,tmirCoeff,tmirExp,plPosValid,plPosFrame,plVelValid,plVelFrame,plTimeValid,reserved,iTOW,plPos1,plPos2,plPos3,plVel1,plVel2,plVel3,plPosHorizOrient,plVelHorizOrient,plTime,reserved2
1,5,0,1,1,0,0,0,0,569655000,1311,1775,4088,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,569656000,1301,1746,4056,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,569657000,1295,1728,4026,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,569658000,1292,1714,4010,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,569659000,1303,1717,4019,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,569660000,1294,1695,3964,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,569661000,1298,1693,3956,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,569662000,1299,1687,3945,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,569663000,1303,1683,3939,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,569664000,1305,1678,3930,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,569665000,1301,1671,3911,0,0,0,0,0,0,0
