gnssId,svId,sigId,freqId,numWords,chn,version,reserved0,dwrd_01,dwrd_02,dwrd_03,dwrd_04,dwrd_05,dwrd_06,dwrd_07,dwrd_08
0,17,4,0,10,85,2,67,2336537494,2747094412,2208729545,3725664447,4023271434,2148163605,4016052345,2686905857
0,30,4,0,10,87,2,67,2339945366,2747050381,3555428743,2253053826,1614340100,4294877183,1755324298,538501631
0,1,4,0,10,83,2,67,2332343190,2747099972,567036355,2030313331,3224305661,3757998083,1472213457,3220942848
1,129,0,0,9,2,2,238,2584313859,4294966783,3758096320,8189,4292869631,3757942267,2870983611,2840077696
1,128,0,0,9,39,2,173,2590425415,4128030832,16744319,2159138688,0,0,0,354974720
3,25,0,0,10,9,2,173,948983990,60295901,622116794,1073070793,438825880,272902248,71472991,1063864515
3,34,0,0,10,11,2,173,948983990,60295901,622116794,1073070793,438825880,272902248,71472991,1063864515
3,24,0,0,10,10,2,173,948983990,60295901,622116794,1073070793,438825880,272902248,71472991,1063864515
3,7,0,0,10,8,2,173,948983990,60295901,622116794,1073070793,438825880,272902248,71472991,1063864515
3,9,0,0,10,6,2,173,948983990,60295901,622116794,1073070793,438825880,272902248,71472991,1063864515
3,9,2,0,10,65,2,67,948983990,60295901,622116794,1073070793,438825880,272902248,71472991,1063864515
3,40,0,0,10,24,2,173,948983990,60295901,622116794,1073070793,438825880,272902248,71472991,1063864515
3,6,0,0,10,7,2,173,948983990,60295901,622116794,1073070793,438825880,272902248,71472991,1063864515
3,10,0,0,10,25,2,173,948983990,60295901,622116794,1073070793,438825880,272902248,71472991,1063864515
3,10,2,0,10,64,2,67,948983990,60295901,622116794,1073070793,438825880,272902248,71472991,1063864515
1,137,0,0,9,0,2,225,2584231939,4294966783,3758096320,8189,4292869631,3757942267,2870983611,2495394368
2,18,1,0,8,40,2,0,334352617,1580138428,1755760880,1949319168,2155427648,2894169066,2863298662,1791033344
2,27,1,0,8,41,2,0,318949626,2257699052,1254092564,2057273344,2644331519,3657532394,2863299771,956366848
2,30,1,0,8,49,2,0,320339234,4207071540,1452411320,258588672,3114639773,3813049322,2863299684,3170959360
2,13,1,0,8,23,2,0,331866765,468627017,3477086540,207962112,2266558627,1766048746,2863285816,2021720064
2,15,1,0,8,38,2,0,326049942,1718233826,2242531575,1112834048,2280701952,42,2863287481,1505820672
1,129,0,0,9,2,2,238,3328454839,4227990016,372834560,1080026112,0,0,0,429044608
1,128,0,0,9,39,2,173,3323060221,4292870143,3757965295,2315240121,4292869631,3758078871,3149922303,3897142976
1,137,0,0,9,0,2,225,3328454839,4227990016,372834560,1080025600,0,0,0,292612352
2,18,5,0,8,70,2,0,9786709,1431655765,1431655765,1432223744,2889777152,42,2863316673,2373926912
6,11,0,7,4,13,2,0,1965839375,4210090000,340574208,253624321,,,,
6,22,0,4,4,15,2,0,1965839375,4210090000,340574208,253624321,,,,
6,10,0,0,4,16,2,0,1965838863,4210090000,340580352,253624321,,,,
6,21,0,11,4,14,2,0,1965839375,4210090000,340574208,253624321,,,,
6,11,2,7,4,89,2,67,1965839375,4210090000,340574208,253624321,,,,
2,15,5,0,8,69,2,67,9786709,1431655765,1431655765,1432223744,2889777152,42,2863316673,2373926912
6,22,2,4,4,91,2,67,1965839375,4210090000,340574208,253624321,,,,
2,13,5,0,8,68,2,67,9786709,1431655765,1431655765,1432223744,2889777152,42,2863316673,2373926912
6,21,2,11,4,90,2,67,1965839375,4210090000,340574208,253624321,,,,
6,12,0,6,4,12,2,0,1965839375,4210090000,340574208,253624321,,,,
6,12,2,6,4,88,2,0,1965839375,4210090000,340574208,253624321,,,,
1,129,0,0,9,2,2,238,1399999749,31518784,66912063,3757439872,0,0,0,151777984
1,128,0,0,9,39,2,173,1393475588,27261952,536608927,4261396493,4294966783,3757926295,2545515259,2506782144
1,137,0,0,9,0,2,225,1399934213,31518784,66912063,3757439872,0,0,0,990063808
2,18,1,0,8,40,2,0,88891327,3907026527,1921691414,527073280,2863310775,918505450,2863293523,3238707200
2,27,1,0,8,41,2,0,268501376,3484723332,1507242958,1072857088,2470455952,34553130,2863290956,2034941952
2,30,1,0,8,49,2,0,272689803,732515460,1879372294,3422126080,2640287801,2239308010,2863291211,2584395776
2,13,1,0,8,23,2,0,271073716,2188357849,3536717649,3892264960,2365601172,1222719914,2863292354,789233664
2,15,1,0,8,38,2,0,284165682,1282364377,3524937881,2482798592,2197815296,42,2863294646,445300736
1,129,0,0,9,2,2,238,2600206336,0,0,0,0,0,0,478639936
1,128,0,0,9,39,2,173,2584264713,4290774527,3757834880,234872829,4290782719,3221600827,2512108025,1721275520
1,137,0,0,9,0,2,225,2600206336,0,0,0,0,0,0,478639936
0,14,0,0,10,5,2,0,583096097,2925177671,565137,2977197594,2147797431,464868189,2248582093,2495834721
0,22,0,0,10,19,2,0,583096097,2925177671,1073422421,2960536789,2149681643,61316571,96187822,2751689232
0,3,0,0,10,4,2,0,583096097,2925177671,1073037197,2784612232,657923,459217824,148851867,22227072
2,18,5,0,8,70,2,0,9786709,1431655765,1431655765,1432223744,2889809920,42,2863308725,3292479488
0,17,0,0,10,18,2,0,583096097,2925177671,813784,104378504,674278,2313025508,114127909,2615592448
