version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,0,1,2,0,0,106,4212,8,13,170,3,166,0,1,0,1,2,0,0,50,3159,14,15,132,8,115,0
0,2,0,0,0,1,2,0,0,106,4212,7,11,170,6,163,0,1,0,1,2,0,0,50,3159,15,13,139,12,124,0
0,2,0,0,0,1,2,0,0,106,4212,8,15,170,6,164,0,1,0,1,2,0,0,50,3159,14,12,141,1,146,0
0,2,0,0,0,1,2,0,0,106,4212,17,12,170,10,165,0,1,0,1,2,0,0,50,3159,17,14,149,14,123,0
0,2,0,0,0,1,2,0,0,106,4212,9,9,169,6,163,0,1,0,1,2,0,0,50,3159,14,13,152,6,119,0
0,2,0,0,0,1,2,0,0,106,4212,11,12,171,4,166,0,1,0,1,2,0,0,50,3159,16,3,149,7,120,0
0,2,0,0,0,1,2,0,0,107,4212,8,11,168,3,165,0,1,0,1,2,0,0,50,3159,14,21,149,8,127,0
0,2,0,0,0,1,2,0,0,107,4212,16,10,174,5,169,0,1,0,1,2,0,0,50,3159,15,16,129,6,111,0
0,2,0,0,0,1,2,0,0,107,4212,17,13,172,3,168,0,1,0,1,2,0,0,50,3159,12,17,135,5,110,0
0,2,0,0,0,1,2,0,0,107,4212,19,13,171,0,166,0,1,0,1,2,0,0,50,3159,13,13,125,13,109,0
0,2,0,0,0,1,2,0,0,107,4212,10,10,172,6,170,0,1,0,1,2,0,0,54,3510,19,13,154,6,144,0
0,2,0,0,0,1,2,0,0,107,4212,10,11,173,5,166,0,1,0,1,2,0,0,54,3510,16,13,154,8,145,0
0,2,0,0,0,1,2,0,0,107,4212,9,21,196,0,188,0,1,0,1,2,0,0,54,3510,17,16,177,-1,156,0
0,2,0,0,0,1,2,0,0,100,3861,5,16,147,15,141,0,1,0,1,2,0,0,54,3510,17,6,185,5,163,0
0,2,0,0,0,1,2,0,0,99,3861,6,18,148,19,140,0,1,0,1,2,0,0,54,3159,12,12,138,4,122,0
0,2,0,0,0,1,2,0,0,100,3861,7,18,145,15,137,0,1,0,1,2,0,0,50,3159,11,12,186,12,125,0
0,2,0,0,0,1,2,0,0,99,3861,7,23,150,15,136,0,1,0,1,2,0,0,50,3159,13,12,140,6,124,0
0,2,0,0,0,1,2,0,0,100,3861,5,21,146,20,140,0,1,0,1,2,0,0,50,3159,13,12,136,9,120,0
0,2,0,0,0,1,2,0,0,107,3861,6,17,144,11,138,0,1,0,1,2,0,0,50,3159,13,14,143,6,138,0
0,2,0,0,0,1,2,0,0,107,3861,9,11,142,17,142,0,1,0,1,2,0,0,50,3159,12,21,150,0,130,0
0,2,0,0,0,1,2,0,0,107,3861,9,22,146,17,138,0,1,0,1,2,0,0,50,3159,11,16,150,32,212,0
0,2,0,0,0,1,2,0,0,107,3861,5,17,143,16,139,0,1,0,1,2,0,0,50,3159,13,14,161,8,128,0
0,2,0,0,0,1,2,0,0,107,3861,9,19,154,7,143,0,1,0,1,2,0,0,50,3159,13,2,221,5,153,0
